,school,games,ors_pct,drs_pct,trs_pct,a_pct,pace,fga,fg_pct,ft_fga,ft_pct,ft,fta,three_ar,two_pct,three_pct,ast,w_pct,sos
315,Texas-San Antonio,24,0.3018,0.7358,1.0375999999999999,0.49,73.7,1583,0.45,0.184,0.76,291,383,0.365,0.5134328358208955,0.339,351,0.583,-0.33
316,Texas Southern,21,0.3232,0.7451000000000001,1.0683,0.46,74.6,1265,0.445,0.261,0.696,330,474,0.27,0.504875406283857,0.284,259,0.619,-10.31
317,Texas State,25,0.2981,0.7459,1.044,0.53,64.6,1359,0.463,0.194,0.707,263,372,0.269,0.49345417925478346,0.38,331,0.72,-7.18
318,Texas Tech,26,0.3326,0.7084999999999999,1.0411,0.51,67.1,1489,0.445,0.282,0.714,420,588,0.314,0.48971596474045054,0.346,337,0.654,6.68
319,Texas,24,0.3042,0.7379000000000001,1.0421,0.5,69.5,1394,0.453,0.236,0.701,329,469,0.421,0.5254027261462205,0.353,317,0.708,9.52
320,Toledo,27,0.2916,0.7003,0.9919,0.57,70.3,1677,0.458,0.219,0.785,368,469,0.451,0.5173913043478261,0.386,441,0.741,-1.43
321,Towson,18,0.3414,0.6967,1.0381,0.39,66.8,1055,0.411,0.243,0.727,256,352,0.295,0.46236559139784944,0.289,170,0.222,-1.47
322,Troy,28,0.2882,0.7421,1.0303,0.5,70.2,1596,0.398,0.242,0.695,386,555,0.388,0.4759467758444217,0.276,320,0.39299999999999996,-3.42
323,Tulane,21,0.2316,0.7016,0.9331999999999999,0.55,68.1,1158,0.38,0.276,0.755,320,424,0.403,0.43270622286541244,0.302,241,0.429,2.93
324,Tulsa,22,0.264,0.6906,0.9546000000000001,0.57,68.0,1196,0.453,0.227,0.677,272,402,0.395,0.5455801104972375,0.311,309,0.5,6.01
325,UCLA,25,0.2961,0.7609,1.057,0.53,65.4,1422,0.463,0.231,0.72,329,457,0.317,0.505664263645726,0.373,346,0.68,8.25
326,Utah State,25,0.3549,0.7973,1.1522,0.6,70.1,1508,0.452,0.219,0.717,330,460,0.32,0.5038986354775828,0.342,412,0.72,0.14
327,Utah Valley,21,0.311,0.7626000000000001,1.0736,0.64,72.1,1189,0.484,0.26,0.623,309,496,0.264,0.5302857142857142,0.354,366,0.524,-2.52
328,Utah,23,0.2437,0.6981,0.9418000000000001,0.59,67.4,1281,0.466,0.214,0.792,274,346,0.342,0.527876631079478,0.347,354,0.478,7.1
329,Valparaiso,28,0.20079999999999998,0.7418,0.9426000000000001,0.54,68.3,1576,0.419,0.198,0.727,312,429,0.403,0.5005313496280552,0.298,356,0.35700000000000004,1.71
330,Vanderbilt,23,0.2825,0.7218000000000001,1.0043,0.52,69.9,1304,0.433,0.238,0.721,310,430,0.462,0.5028490028490028,0.352,292,0.348,7.44
331,Vermont,15,0.2664,0.7683,1.0347,0.55,66.4,828,0.463,0.257,0.78,213,273,0.407,0.5437881873727087,0.344,211,0.667,-6.72
332,Villanova,21,0.2813,0.7558,1.0371,0.58,66.4,1236,0.451,0.229,0.773,283,366,0.442,0.5260869565217391,0.355,323,0.762,9.65
333,Virginia Commonwealth,25,0.28550000000000003,0.6906,0.9761,0.53,70.6,1406,0.453,0.258,0.761,363,477,0.35,0.5196936542669585,0.329,338,0.76,5.41
334,VMI,25,0.2341,0.7532,0.9872999999999998,0.56,72.3,1517,0.465,0.21,0.772,319,413,0.469,0.5409429280397022,0.38,393,0.52,-0.1
335,Virginia Tech,20,0.28850000000000003,0.7652,1.0537,0.56,66.2,1123,0.451,0.236,0.703,265,377,0.416,0.5198170731707317,0.353,285,0.75,6.74
336,Virginia,23,0.22579999999999997,0.7781,1.0039,0.55,60.8,1211,0.481,0.178,0.812,216,266,0.413,0.5485232067510548,0.386,318,0.7390000000000001,8.59
337,Wagner,20,0.3479,0.7191,1.067,0.48,66.8,1205,0.442,0.201,0.718,242,337,0.305,0.4970131421744325,0.318,258,0.65,-5.91
338,Wake Forest,21,0.25239999999999996,0.7395999999999999,0.9919999999999999,0.5,67.5,1154,0.411,0.217,0.725,250,345,0.464,0.4701130856219709,0.342,238,0.28600000000000003,9.28
339,Washington State,26,0.3095,0.7362000000000001,1.0457,0.53,68.4,1481,0.411,0.253,0.71,374,527,0.397,0.45576707726763716,0.344,320,0.5379999999999999,4.71
340,Washington,25,0.23149999999999998,0.649,0.8805000000000001,0.44,70.6,1443,0.419,0.187,0.703,270,384,0.392,0.4760820045558087,0.329,265,0.2,9.53
341,Weber State,22,0.21960000000000002,0.7535,0.9731000000000001,0.53,72.5,1242,0.508,0.288,0.785,358,456,0.381,0.5786736020806242,0.393,336,0.773,-6.16
342,West Virginia,26,0.3591,0.6920999999999999,1.0512,0.53,70.6,1594,0.428,0.29,0.718,463,645,0.33,0.46254681647940077,0.359,361,0.6920000000000001,10.55
343,Western Carolina,27,0.2291,0.7547,0.9838,0.5,72.2,1577,0.454,0.242,0.726,381,525,0.42,0.5355191256830601,0.341,359,0.40700000000000003,-1.4
344,Western Illinois,22,0.2909,0.7706000000000001,1.0615,0.41,73.5,1362,0.404,0.256,0.715,349,488,0.365,0.45433526011560693,0.316,225,0.318,-4.78
345,Western Kentucky,24,0.3262,0.765,1.0912,0.51,70.2,1361,0.456,0.281,0.781,382,489,0.32,0.509719222462203,0.343,317,0.75,-0.14
346,Western Michigan,21,0.2359,0.7117,0.9476,0.49,68.3,1153,0.433,0.161,0.639,186,291,0.37,0.4931129476584022,0.33,245,0.23800000000000002,0.14
347,Wichita State,19,0.31679999999999997,0.6751999999999999,0.9919999999999999,0.53,69.0,1145,0.41,0.261,0.691,299,433,0.401,0.45626822157434405,0.34,249,0.789,7.41
348,William & Mary,17,0.2857,0.6823999999999999,0.9681000000000001,0.47,67.2,948,0.409,0.239,0.749,227,303,0.361,0.47854785478547857,0.287,183,0.41200000000000003,-3.04
349,Winthrop,24,0.3549,0.7804000000000001,1.1353,0.54,72.8,1463,0.461,0.245,0.686,358,522,0.393,0.5304054054054054,0.353,361,0.958,-7.5
350,Wisconsin,27,0.2382,0.7544,0.9925999999999999,0.54,65.8,1578,0.421,0.209,0.76,330,434,0.411,0.4682454251883746,0.353,357,0.593,12.31
351,Wofford,24,0.27690000000000003,0.7403,1.0171999999999999,0.54,67.6,1374,0.47,0.179,0.705,246,349,0.504,0.5865102639296188,0.355,351,0.625,0.31
352,Wright State,24,0.3418,0.7497,1.0915000000000001,0.52,72.1,1471,0.483,0.25,0.724,368,508,0.329,0.5379939209726444,0.37,369,0.75,-6.47
353,Wyoming,23,0.23399999999999999,0.7132,0.9472,0.54,70.1,1330,0.443,0.25,0.709,332,468,0.49,0.532448377581121,0.35,317,0.565,-2.56
354,Xavier,20,0.2633,0.7288,0.9921,0.63,70.4,1225,0.458,0.185,0.694,227,327,0.389,0.5447263017356475,0.321,355,0.65,7.7
356,Youngstown State,27,0.3362,0.7151000000000001,1.0513,0.49,69.1,1672,0.429,0.233,0.726,390,537,0.362,0.4981238273921201,0.307,349,0.556,-7.0
