,school,games,ors_pct,drs_pct,trs_pct,a_pct,pace,fga,fg_pct,ft_fga,ft_pct,ft,fta,three_ar,two_pct,three_pct,ast,w_pct,sos
59,Citadel,25,0.25429999999999997,0.7497,1.004,0.55,74.9,1566,0.452,0.222,0.701,347,495,0.46,0.5342789598108747,0.356,389,0.52,-0.87
60,Clemson,22,0.2667,0.7345,1.0012,0.56,65.0,1215,0.426,0.183,0.76,222,292,0.438,0.49487554904831627,0.338,290,0.727,10.51
61,Cleveland State,25,0.3122,0.6779999999999999,0.9902,0.53,67.4,1444,0.449,0.221,0.672,319,475,0.35,0.516506922257721,0.323,343,0.72,-4.58
62,Coastal Carolina,23,0.3784,0.7345,1.1129,0.55,71.8,1419,0.459,0.233,0.73,330,452,0.394,0.5232558139534884,0.361,356,0.696,-7.92
63,Colgate,13,0.26739999999999997,0.7495,1.0169,0.55,72.3,809,0.494,0.24,0.732,194,265,0.366,0.5633528265107213,0.375,219,0.9229999999999999,1.93
64,College of Charleston,19,0.2468,0.7424,0.9891999999999999,0.42,64.7,1066,0.451,0.207,0.711,221,311,0.396,0.5015527950310559,0.374,201,0.474,-2.26
65,Colorado State,22,0.24170000000000003,0.746,0.9876999999999999,0.58,69.9,1187,0.482,0.278,0.797,330,414,0.447,0.573820395738204,0.368,334,0.773,-0.81
66,Colorado,27,0.2992,0.7459,1.0451000000000001,0.52,66.8,1537,0.457,0.248,0.834,381,457,0.36,0.508646998982706,0.366,369,0.741,6.73
68,Connecticut,20,0.364,0.7106,1.0746,0.49,66.4,1189,0.444,0.213,0.725,253,349,0.335,0.4943109987357775,0.344,257,0.7,9.19
69,Coppin State,21,0.1859,0.6783,0.8642,0.53,79.4,1236,0.412,0.271,0.626,335,535,0.494,0.5136,0.308,272,0.429,-5.82
71,Creighton,25,0.242,0.7198,0.9618000000000001,0.56,70.0,1498,0.482,0.182,0.651,272,418,0.445,0.5733173076923077,0.368,404,0.72,8.68
73,Davidson,21,0.284,0.7827,1.0667,0.58,63.7,1162,0.473,0.18,0.685,209,305,0.491,0.5760135135135135,0.367,318,0.619,4.11
74,Dayton,23,0.2373,0.7158,0.9531000000000001,0.56,66.4,1189,0.477,0.248,0.72,295,410,0.416,0.5504322766570605,0.374,316,0.609,5.07
75,Delaware State,19,0.2687,0.6796,0.9483,0.46,77.1,1183,0.396,0.217,0.72,257,357,0.416,0.4573082489146165,0.309,216,0.158,-5.89
76,Delaware,15,0.26899999999999996,0.7411,1.0101,0.54,67.8,793,0.438,0.267,0.714,212,297,0.405,0.5084745762711864,0.333,188,0.467,-4.16
77,Denver,21,0.2207,0.7373000000000001,0.9580000000000001,0.48,71.4,1172,0.443,0.245,0.721,287,398,0.344,0.49154746423927176,0.35,251,0.095,-6.55
78,DePaul,17,0.3194,0.6973,1.0167,0.46,70.6,1043,0.417,0.149,0.677,155,229,0.288,0.4576043068640646,0.317,202,0.235,9.49
79,Detroit Mercy,22,0.2699,0.7112,0.9811,0.53,68.2,1290,0.464,0.203,0.804,262,326,0.446,0.5216783216783217,0.391,315,0.545,-4.85
80,Dixie State,21,0.2532,0.687,0.9402000000000001,0.62,74.0,1227,0.419,0.249,0.714,305,427,0.341,0.47713226205191595,0.306,321,0.381,-4.26
81,Drake,29,0.31579999999999997,0.7505,1.0663,0.46,66.8,1757,0.494,0.174,0.713,305,428,0.314,0.5510373443983403,0.37,399,0.862,-1.45
82,Drexel,18,0.2928,0.7537999999999999,1.0466,0.58,66.3,990,0.479,0.221,0.777,219,282,0.358,0.5440251572327044,0.362,277,0.611,-4.25
83,Duke,22,0.3152,0.7166,1.0317999999999998,0.56,69.6,1360,0.466,0.162,0.696,220,316,0.385,0.5430622009569378,0.344,354,0.5,9.84
84,Duquesne,18,0.31010000000000004,0.6994,1.0095,0.55,68.4,1040,0.421,0.206,0.65,214,329,0.37,0.49312977099236643,0.299,241,0.5,3.6
85,East Carolina,18,0.272,0.7286,1.0006,0.67,69.0,1033,0.41,0.245,0.729,253,347,0.332,0.4608695652173913,0.309,286,0.444,3.98
86,East Tennessee State,25,0.2966,0.7428,1.0393999999999999,0.48,67.6,1416,0.438,0.208,0.697,295,423,0.406,0.4982164090368609,0.35,295,0.52,0.75
87,Eastern Illinois,27,0.2867,0.7048000000000001,0.9915,0.51,70.2,1623,0.436,0.169,0.657,274,417,0.354,0.4966634890371783,0.324,360,0.33299999999999996,-6.55
88,Eastern Kentucky,29,0.2672,0.7045,0.9717,0.53,76.1,1946,0.448,0.18,0.706,351,497,0.4,0.5068493150684932,0.359,461,0.759,-7.61
89,Eastern Michigan,18,0.2515,0.7071999999999999,0.9587,0.44,71.4,1077,0.416,0.226,0.745,243,326,0.382,0.4804804804804805,0.311,198,0.33299999999999996,0.02
90,Eastern Washington,20,0.23260000000000003,0.7326999999999999,0.9653,0.54,72.3,1207,0.467,0.234,0.791,283,358,0.402,0.538781163434903,0.361,305,0.65,-4.62
91,Elon,18,0.2532,0.7862,1.0393999999999999,0.47,67.1,1023,0.414,0.191,0.741,195,263,0.444,0.48154657293497366,0.33,199,0.556,-3.83
92,Evansville,25,0.19010000000000002,0.7595000000000001,0.9496000000000001,0.51,62.4,1299,0.44,0.182,0.718,237,330,0.49,0.5,0.377,291,0.36,0.42
93,Fairfield,23,0.2823,0.7442,1.0265,0.48,65.9,1249,0.401,0.229,0.692,286,413,0.355,0.4496894409937888,0.313,240,0.304,-5.7
94,Fairleigh Dickinson,24,0.2867,0.6686,0.9553,0.44,71.9,1432,0.45,0.221,0.712,317,445,0.361,0.492896174863388,0.375,287,0.375,-4.65
95,Florida A&M,19,0.30329999999999996,0.6815000000000001,0.9848,0.52,70.5,1063,0.443,0.193,0.649,205,316,0.269,0.4877734877734878,0.322,246,0.42100000000000004,-8.68
96,Florida Atlantic,21,0.3464,0.7705,1.1169,0.51,70.7,1297,0.466,0.183,0.651,237,364,0.419,0.5325365205843293,0.375,306,0.5710000000000001,-5.6
97,Florida Gulf Coast,18,0.2986,0.7212000000000001,1.0198,0.51,72.5,1126,0.429,0.16,0.664,180,271,0.443,0.5374800637958532,0.293,246,0.556,-6.88
98,Florida International,26,0.262,0.6761,0.9381,0.56,72.8,1604,0.43,0.163,0.666,261,392,0.509,0.5291878172588832,0.335,388,0.34600000000000003,-2.86
99,Florida State,20,0.3504,0.6965,1.0469,0.53,70.3,1204,0.472,0.239,0.737,288,391,0.362,0.5208333333333334,0.385,299,0.75,9.05
100,Florida,21,0.3074,0.6817,0.9891,0.45,71.1,1192,0.47,0.256,0.753,305,405,0.333,0.5270440251572327,0.355,250,0.619,10.89
101,Fordham,14,0.1923,0.6957,0.888,0.6,64.2,716,0.359,0.184,0.67,132,197,0.411,0.4218009478672986,0.269,153,0.14300000000000002,4.35
102,Fresno State,22,0.3152,0.7391,1.0543,0.45,66.3,1186,0.422,0.249,0.669,295,441,0.385,0.48559670781893005,0.322,225,0.5,0.45
103,Furman,25,0.272,0.7421,1.0141,0.57,70.9,1499,0.487,0.192,0.724,288,398,0.472,0.6169405815423514,0.342,416,0.64,-1.12
104,Gardner-Webb,26,0.2667,0.7193,0.9860000000000001,0.52,67.0,1465,0.444,0.207,0.69,303,439,0.439,0.5097323600973236,0.361,339,0.423,-5.42
105,George Mason,22,0.3017,0.7572,1.0589,0.5,69.2,1347,0.429,0.188,0.642,253,394,0.362,0.48604651162790696,0.329,287,0.591,1.53
106,George Washington,17,0.2446,0.7147,0.9593,0.47,68.9,928,0.443,0.252,0.699,234,335,0.339,0.5040783034257749,0.324,194,0.294,-0.41
107,Georgetown,21,0.3206,0.7238,1.0444,0.54,71.0,1245,0.425,0.215,0.755,268,355,0.393,0.46296296296296297,0.366,284,0.429,10.64
108,Georgia Southern,26,0.3248,0.7182999999999999,1.0431,0.47,68.4,1536,0.447,0.191,0.635,294,463,0.396,0.5301724137931034,0.319,322,0.5,-5.58
109,Georgia State,22,0.3129,0.6849,0.9978,0.57,71.2,1386,0.468,0.21,0.685,291,425,0.359,0.5298087739032621,0.358,369,0.727,-3.91
110,Georgia Tech,23,0.2427,0.706,0.9486999999999999,0.58,68.1,1347,0.475,0.209,0.73,281,385,0.374,0.5492289442467378,0.351,373,0.652,8.42
111,Georgia,25,0.3337,0.6866,1.0203,0.53,76.0,1543,0.459,0.24,0.69,371,538,0.32,0.5247619047619048,0.318,374,0.56,8.52
112,Gonzaga,25,0.3075,0.7654000000000001,1.0729,0.54,75.5,1555,0.552,0.264,0.73,411,563,0.318,0.6418473138548539,0.36,462,1.0,3.08
113,Grambling,22,0.2446,0.6984999999999999,0.9431,0.61,72.6,1202,0.428,0.283,0.668,340,509,0.286,0.4662004662004662,0.331,313,0.5,-13.02
114,Grand Canyon,21,0.3134,0.7817000000000001,1.0951,0.59,68.7,1203,0.492,0.215,0.676,259,383,0.356,0.5832258064516129,0.327,348,0.7140000000000001,-5.7
115,Green Bay,25,0.25730000000000003,0.7095999999999999,0.9669,0.54,67.7,1507,0.435,0.204,0.749,308,411,0.339,0.4879518072289157,0.333,352,0.32,-4.09
116,Hampton,25,0.221,0.6828,0.9037999999999999,0.47,70.1,1437,0.431,0.207,0.725,298,411,0.388,0.49318181818181817,0.332,292,0.44,-8.59
117,Hartford,22,0.2507,0.7119,0.9625999999999999,0.47,66.4,1196,0.437,0.196,0.703,234,333,0.43,0.5161290322580645,0.333,246,0.636,-5.42
119,Hawaii,20,0.3066,0.7526,1.0592,0.46,68.5,1156,0.446,0.227,0.72,262,364,0.377,0.49444444444444446,0.365,236,0.55,-4.4
120,High Point,24,0.32030000000000003,0.7177,1.038,0.52,67.4,1357,0.416,0.263,0.687,357,520,0.292,0.4672216441207076,0.29,292,0.375,-6.84
121,Hofstra,23,0.2928,0.7108,1.0036,0.49,68.9,1342,0.443,0.238,0.717,319,445,0.393,0.5165644171779141,0.33,293,0.565,-1.99
122,Holy Cross,16,0.2641,0.6845,0.9486,0.45,69.8,951,0.445,0.182,0.698,173,248,0.328,0.48826291079812206,0.356,190,0.312,5.31
123,Houston Baptist,23,0.25239999999999996,0.6811,0.9335,0.56,74.6,1368,0.429,0.204,0.734,279,380,0.406,0.4876847290640394,0.344,331,0.217,-4.88
124,Houston,24,0.39640000000000003,0.73,1.1264,0.5,66.9,1485,0.438,0.222,0.733,330,450,0.42,0.4965197215777262,0.356,326,0.875,4.26
125,Howard,5,0.2291,0.6939,0.9229999999999999,0.6,73.1,283,0.435,0.279,0.718,79,110,0.435,0.53125,0.309,74,0.2,-1.95
126,Idaho State,23,0.3221,0.7591,1.0812,0.5,66.3,1203,0.45,0.273,0.708,329,465,0.399,0.5228215767634855,0.34,270,0.565,-6.82
127,Idaho,21,0.22219999999999998,0.6994,0.9216,0.55,67.3,1083,0.428,0.217,0.73,235,322,0.316,0.46963562753036436,0.339,254,0.048,-4.01
128,Illinois-Chicago,22,0.23399999999999999,0.7269,0.9609000000000001,0.53,69.6,1301,0.429,0.15,0.659,195,296,0.418,0.5019815059445178,0.327,297,0.409,-6.35
129,Illinois State,25,0.2376,0.7393000000000001,0.9769000000000001,0.51,70.7,1477,0.46,0.167,0.661,246,372,0.383,0.531284302963776,0.345,345,0.28,0.84
130,Illinois,26,0.3274,0.7731,1.1005,0.55,71.5,1516,0.5,0.265,0.686,402,586,0.311,0.55311004784689,0.382,420,0.769,12.09
131,Incarnate Word,21,0.23629999999999998,0.6906,0.9269,0.52,68.1,1120,0.446,0.238,0.706,266,377,0.382,0.48554913294797686,0.381,260,0.381,-8.12
132,Indiana State,25,0.2503,0.7353000000000001,0.9856,0.46,66.8,1338,0.433,0.264,0.734,353,481,0.334,0.4837261503928171,0.333,267,0.6,2.37
133,Indiana,26,0.25329999999999997,0.7293000000000001,0.9826,0.57,67.3,1454,0.435,0.282,0.671,410,611,0.325,0.48574338085539714,0.331,362,0.462,13.77
134,Iona,13,0.3295,0.7225,1.052,0.58,71.3,741,0.453,0.26,0.745,193,259,0.398,0.515695067264574,0.359,196,0.615,-7.0
135,Iowa State,23,0.24,0.6658,0.9057999999999999,0.47,70.4,1341,0.418,0.158,0.779,212,272,0.386,0.4787363304981774,0.322,264,0.087,10.73
136,Iowa,27,0.3131,0.7109000000000001,1.024,0.64,71.0,1711,0.474,0.234,0.71,401,565,0.403,0.5264187866927593,0.396,518,0.741,10.92
137,Purdue-Fort Wayne,23,0.2618,0.6920999999999999,0.9538999999999999,0.52,69.4,1259,0.501,0.208,0.689,262,380,0.405,0.5700934579439252,0.4,328,0.348,-7.5
138,IUPUI,18,0.25420000000000004,0.747,1.0012,0.53,72.7,1069,0.423,0.219,0.718,234,326,0.389,0.47320061255742724,0.344,239,0.444,-5.97
139,Jackson State,16,0.2917,0.7404000000000001,1.0321,0.49,70.7,888,0.39,0.278,0.675,247,366,0.296,0.4144,0.331,169,0.688,-13.9
140,Jacksonville State,27,0.3225,0.723,1.0454999999999999,0.53,68.0,1568,0.461,0.217,0.685,340,496,0.393,0.5294117647058824,0.356,383,0.667,-5.54
141,Jacksonville,24,0.2482,0.7105,0.9587,0.47,69.5,1320,0.437,0.226,0.664,298,449,0.398,0.5125944584382871,0.323,269,0.45799999999999996,-6.45
142,James Madison,20,0.2937,0.7131000000000001,1.0068000000000001,0.51,72.4,1201,0.452,0.258,0.668,310,464,0.405,0.5272727272727272,0.342,276,0.65,-2.44
143,Kansas State,27,0.2933,0.723,1.0163,0.58,66.5,1465,0.409,0.19,0.664,279,420,0.412,0.4912891986062718,0.291,349,0.29600000000000004,9.09
144,Kansas,27,0.3186,0.7333,1.0519,0.52,69.6,1620,0.439,0.219,0.71,355,500,0.362,0.4932301740812379,0.343,370,0.7040000000000001,10.35
145,Kennesaw State,24,0.2547,0.7643000000000001,1.0190000000000001,0.46,69.7,1359,0.42,0.195,0.659,265,402,0.387,0.4885954381752701,0.312,260,0.20800000000000002,-3.27
146,Kent State,22,0.3538,0.7216,1.0754,0.52,70.9,1380,0.446,0.212,0.777,293,377,0.394,0.5227272727272727,0.327,319,0.682,-0.99
147,Kentucky,24,0.3311,0.698,1.0291,0.5,70.1,1413,0.417,0.255,0.734,361,492,0.318,0.45643153526970953,0.332,294,0.375,12.47
148,La Salle,25,0.2683,0.71,0.9783,0.5,69.7,1453,0.436,0.166,0.685,241,352,0.394,0.49772727272727274,0.34,318,0.36,4.21
149,Lafayette,15,0.2371,0.7153,0.9524000000000001,0.6,70.2,928,0.436,0.244,0.804,226,281,0.386,0.4842105263157895,0.36,243,0.6,-2.78
150,Lamar,25,0.2742,0.7218000000000001,0.9960000000000001,0.51,69.9,1446,0.407,0.235,0.736,340,462,0.278,0.44731800766283525,0.303,303,0.32,-6.65
151,Lehigh,15,0.2491,0.7619,1.011,0.49,71.3,901,0.431,0.195,0.701,176,251,0.256,0.4701492537313433,0.316,191,0.267,-0.76
152,Liberty,28,0.23800000000000002,0.7905,1.0285,0.59,64.5,1548,0.492,0.185,0.777,286,368,0.478,0.5841584158415841,0.391,446,0.821,-6.38
153,Lipscomb,27,0.23559999999999998,0.735,0.9706,0.53,68.4,1493,0.46,0.233,0.692,348,503,0.381,0.5270562770562771,0.351,364,0.556,-5.33
154,Cal State Long Beach,16,0.22010000000000002,0.6833,0.9034,0.46,73.7,914,0.438,0.271,0.678,248,366,0.341,0.4850498338870432,0.346,183,0.312,-4.26
155,Long Island University,18,0.3292,0.7154,1.0446,0.61,74.5,1155,0.415,0.208,0.667,240,360,0.404,0.501453488372093,0.287,293,0.5,-6.77
156,Longwood,28,0.2809,0.7328,1.0137,0.45,66.2,1527,0.434,0.216,0.686,330,481,0.379,0.4873417721518987,0.345,295,0.429,-6.12
157,Louisiana,26,0.3358,0.7267,1.0625,0.47,72.1,1607,0.444,0.201,0.698,323,463,0.331,0.49116279069767443,0.348,332,0.654,-5.21
158,Louisiana-Monroe,26,0.22699999999999998,0.6814,0.9084,0.58,67.7,1464,0.416,0.176,0.703,258,367,0.39,0.46472564389697646,0.34,355,0.26899999999999996,-5.67
159,Louisiana State,24,0.31129999999999997,0.6825,0.9937999999999999,0.43,73.2,1487,0.469,0.266,0.746,396,531,0.378,0.5437837837837838,0.345,300,0.667,8.25
160,Louisiana Tech,26,0.2808,0.7635,1.0443,0.47,71.2,1536,0.448,0.236,0.681,363,533,0.375,0.5114583333333333,0.342,323,0.769,-1.69
161,Louisville,19,0.3207,0.7417,1.0624,0.45,66.1,1084,0.438,0.233,0.717,253,353,0.297,0.4921259842519685,0.311,214,0.684,9.69
162,Loyola (IL),28,0.2535,0.7958,1.0493000000000001,0.6,63.9,1456,0.505,0.227,0.723,331,458,0.375,0.5868131868131868,0.368,442,0.857,0.13
163,Loyola Marymount,22,0.3204,0.7957,1.1160999999999999,0.53,67.8,1147,0.458,0.3,0.726,344,474,0.349,0.5220883534136547,0.338,280,0.591,3.07
164,Loyola (MD),15,0.31120000000000003,0.7347,1.0459,0.48,68.7,878,0.462,0.226,0.607,198,326,0.293,0.5297906602254429,0.3,195,0.33299999999999996,-1.45
165,Maine,9,0.23309999999999997,0.6973999999999999,0.9305,0.63,65.4,452,0.381,0.155,0.569,70,123,0.449,0.43373493975903615,0.315,108,0.222,-3.31
166,Manhattan,19,0.3132,0.7073,1.0205000000000002,0.54,68.0,1096,0.38,0.24,0.671,263,392,0.38,0.4477172312223859,0.271,225,0.368,-7.33
167,Marist,20,0.2229,0.7506999999999999,0.9735999999999998,0.49,66.7,1053,0.432,0.215,0.685,226,330,0.412,0.518578352180937,0.309,222,0.6,-7.82
168,Marquette,26,0.2956,0.7212000000000001,1.0168000000000001,0.51,68.3,1426,0.449,0.266,0.736,380,516,0.372,0.5206703910614525,0.328,326,0.5,9.39
169,Marshall,21,0.23670000000000002,0.715,0.9517,0.54,73.3,1315,0.478,0.183,0.727,240,330,0.405,0.5549872122762148,0.364,336,0.7140000000000001,-1.16
170,Maryland-Baltimore County,20,0.2585,0.7572,1.0156999999999998,0.45,68.7,1099,0.439,0.26,0.711,286,402,0.371,0.49782923299565845,0.341,219,0.7,-4.89
172,Maryland,27,0.20329999999999998,0.7617,0.965,0.55,66.2,1424,0.458,0.237,0.701,337,481,0.433,0.5353159851301115,0.357,359,0.556,12.74
173,Massachusetts-Lowell,22,0.2709,0.7309,1.0018,0.48,69.3,1179,0.46,0.253,0.659,298,452,0.338,0.5115384615384615,0.358,262,0.5,-2.81
174,Massachusetts,15,0.2429,0.7441,0.9869999999999999,0.57,72.3,920,0.428,0.251,0.733,231,315,0.44,0.5087378640776699,0.326,224,0.5329999999999999,2.28
175,McNeese State,23,0.312,0.7484999999999999,1.0605,0.62,73.4,1403,0.495,0.195,0.687,274,399,0.358,0.5516093229744728,0.392,428,0.435,-10.9
176,Memphis,22,0.33840000000000003,0.7548999999999999,1.0933,0.62,72.8,1305,0.441,0.207,0.618,270,437,0.358,0.4880668257756563,0.355,355,0.682,2.85
177,Mercer,29,0.26170000000000004,0.7542,1.0159,0.58,70.1,1738,0.479,0.179,0.718,311,433,0.387,0.5464788732394367,0.371,479,0.621,-1.02
178,Merrimack,18,0.2084,0.6835,0.8919,0.5,68.0,967,0.449,0.206,0.663,199,300,0.412,0.5413005272407733,0.317,216,0.5,-6.63
179,Miami (FL),24,0.273,0.7372,1.0102,0.47,68.2,1362,0.419,0.225,0.693,307,443,0.338,0.48226164079822614,0.293,269,0.33299999999999996,8.64
180,Miami (OH),22,0.2811,0.7186,0.9997,0.47,67.5,1307,0.438,0.201,0.771,263,341,0.399,0.48662420382165605,0.366,268,0.545,-2.01
181,Michigan State,26,0.30579999999999996,0.7395999999999999,1.0453999999999999,0.65,69.1,1521,0.425,0.228,0.729,347,476,0.343,0.478,0.322,418,0.5770000000000001,12.74
182,Michigan,22,0.29410000000000003,0.7521,1.0461999999999998,0.54,68.1,1265,0.488,0.224,0.765,283,370,0.338,0.5393794749403341,0.386,336,0.8640000000000001,12.33
183,Middle Tennessee,22,0.2602,0.7472,1.0073999999999999,0.44,70.2,1276,0.388,0.17,0.68,217,319,0.397,0.4317295188556567,0.321,219,0.22699999999999998,-0.82
184,Milwaukee,22,0.24050000000000002,0.7337,0.9742000000000001,0.48,71.1,1348,0.436,0.243,0.732,327,447,0.359,0.4965277777777778,0.329,285,0.455,-5.94
185,Minnesota,27,0.2919,0.6785,0.9703999999999999,0.57,70.5,1668,0.394,0.28,0.756,467,618,0.406,0.4686868686868687,0.286,374,0.48100000000000004,12.83
186,Mississippi State,27,0.3568,0.7251000000000001,1.0819,0.5,67.1,1535,0.455,0.216,0.641,332,518,0.27,0.49464285714285716,0.349,351,0.519,6.21
187,Mississippi Valley State,23,0.1744,0.6434000000000001,0.8178,0.56,73.8,1284,0.357,0.138,0.567,177,312,0.485,0.37972768532526474,0.332,256,0.087,-7.82
188,Mississippi,25,0.3433,0.7328,1.0761,0.5,67.3,1411,0.442,0.24,0.695,339,488,0.31,0.5071868583162218,0.297,309,0.6,6.37
189,Missouri-Kansas City,24,0.2427,0.7603,1.003,0.55,66.5,1292,0.497,0.193,0.66,250,379,0.315,0.5570621468926553,0.366,355,0.45799999999999996,-3.03
190,Missouri State,24,0.248,0.7793000000000001,1.0273,0.51,68.7,1332,0.478,0.231,0.742,308,415,0.387,0.5593635250917993,0.35,325,0.708,0.32
191,Missouri,23,0.2895,0.7049,0.9944,0.51,70.2,1327,0.451,0.262,0.697,348,499,0.378,0.5309090909090909,0.319,306,0.652,11.21
192,Monmouth,19,0.262,0.7166,0.9786,0.54,74.7,1166,0.428,0.27,0.706,315,446,0.347,0.4612352168199737,0.365,270,0.632,-6.5
193,Montana State,20,0.2572,0.7495999999999999,1.0068,0.46,70.1,1127,0.46,0.292,0.749,329,439,0.343,0.5209176788124157,0.342,237,0.55,-6.32
194,Montana,25,0.2519,0.7343999999999999,0.9863,0.52,67.7,1350,0.462,0.295,0.791,398,503,0.271,0.4959349593495935,0.372,324,0.52,-2.34
195,Morehead State,30,0.3172,0.7563,1.0735,0.52,67.2,1601,0.461,0.245,0.682,392,575,0.351,0.5206929740134745,0.351,382,0.767,-4.37
196,Morgan State,19,0.34619999999999995,0.6989,1.0451,0.55,75.8,1208,0.44,0.254,0.742,307,414,0.386,0.49865229110512127,0.348,295,0.632,-11.0
197,Mount St. Mary's,21,0.3179,0.75,1.0678999999999998,0.51,63.6,1135,0.427,0.192,0.675,218,323,0.367,0.47844228094575797,0.339,249,0.524,-5.07
198,Murray State,26,0.2832,0.7551000000000001,1.0383000000000002,0.57,69.4,1522,0.497,0.171,0.672,260,387,0.378,0.5761099365750528,0.368,435,0.5,-7.63
199,Navy,18,0.3233,0.7504000000000001,1.0737,0.48,67.2,1042,0.447,0.234,0.709,244,344,0.326,0.5056980056980057,0.326,222,0.833,-0.5
200,Omaha,25,0.2299,0.7342,0.9641,0.38,72.2,1494,0.418,0.201,0.688,300,436,0.266,0.44849589790337285,0.335,236,0.2,-2.49
201,Nebraska,26,0.23629999999999998,0.7219,0.9581999999999999,0.55,73.0,1544,0.419,0.201,0.635,310,488,0.422,0.47928331466965285,0.336,355,0.26899999999999996,13.43
202,Nevada-Las Vegas,25,0.3024,0.7526,1.055,0.5,66.7,1474,0.445,0.149,0.705,220,312,0.407,0.5102974828375286,0.35,327,0.44,1.32
203,Nevada,24,0.2376,0.7526,0.9902000000000001,0.58,69.9,1331,0.448,0.284,0.754,378,501,0.397,0.5093399750933998,0.354,347,0.625,1.11
204,New Hampshire,19,0.2804,0.7828,1.0632,0.47,67.7,1124,0.402,0.218,0.684,245,358,0.36,0.44923504867872044,0.319,213,0.526,-5.65
205,New Mexico State,17,0.3567,0.7736,1.1303,0.52,66.4,996,0.423,0.225,0.723,224,310,0.474,0.5267175572519084,0.307,219,0.588,-6.49
206,New Mexico,21,0.3494,0.7193,1.0687,0.51,68.7,1247,0.413,0.189,0.594,236,397,0.284,0.47256438969764836,0.263,262,0.28600000000000003,-1.66
207,New Orleans,23,0.299,0.6843,0.9833000000000002,0.56,74.4,1383,0.472,0.223,0.732,308,421,0.283,0.53125,0.322,365,0.391,-8.97
208,Niagara,18,0.2263,0.7218000000000001,0.9481,0.52,65.6,990,0.411,0.232,0.706,230,326,0.369,0.4624,0.323,213,0.444,-6.18
209,Nicholls State,23,0.2887,0.7247,1.0134,0.46,74.4,1487,0.461,0.183,0.672,272,405,0.373,0.5359056806002144,0.334,313,0.7390000000000001,-9.43
210,NJIT,19,0.24,0.7098,0.9498000000000001,0.41,68.1,1088,0.404,0.236,0.691,257,372,0.358,0.45988538681948427,0.305,181,0.368,-4.84
211,Norfolk State,21,0.284,0.7253000000000001,1.0093,0.46,72.2,1240,0.435,0.269,0.698,333,477,0.352,0.47447073474470736,0.364,248,0.667,-9.67
212,North Alabama,24,0.2932,0.7656000000000001,1.0588,0.44,71.3,1457,0.428,0.217,0.745,316,424,0.391,0.4864864864864865,0.337,272,0.542,-5.92
213,North Carolina-Asheville,20,0.26839999999999997,0.6679999999999999,0.9364,0.46,69.9,1151,0.476,0.183,0.606,211,348,0.391,0.5520684736091298,0.358,254,0.5,-6.88
214,North Carolina A&T,21,0.2777,0.6648999999999999,0.9425999999999999,0.53,74.3,1273,0.421,0.242,0.658,308,468,0.337,0.4727488151658768,0.319,285,0.524,-7.3
215,North Carolina Central,13,0.2495,0.6953,0.9448000000000001,0.51,69.8,731,0.43,0.227,0.703,166,236,0.354,0.4745762711864407,0.347,160,0.385,-8.07
216,North Carolina-Greensboro,29,0.3187,0.7465999999999999,1.0653,0.44,70.5,1894,0.424,0.163,0.683,308,451,0.389,0.5025906735751295,0.3,356,0.7240000000000001,-2.24
217,North Carolina State,22,0.29359999999999997,0.6779000000000001,0.9715,0.48,68.7,1257,0.473,0.221,0.697,278,399,0.325,0.5265017667844523,0.363,288,0.591,7.08
218,North Carolina-Wilmington,17,0.2705,0.6968000000000001,0.9673,0.47,70.7,1011,0.437,0.282,0.766,285,372,0.367,0.490625,0.345,206,0.41200000000000003,-5.76
219,North Carolina,25,0.40490000000000004,0.74,1.1449,0.57,72.0,1553,0.442,0.235,0.671,365,544,0.279,0.4928571428571429,0.309,393,0.64,9.88
220,North Dakota State,26,0.2867,0.8027,1.0894,0.42,66.4,1427,0.444,0.256,0.759,366,482,0.367,0.5060908084163898,0.338,269,0.5770000000000001,-3.2
221,North Dakota,26,0.2339,0.7351000000000001,0.9690000000000001,0.49,69.0,1454,0.428,0.241,0.698,351,503,0.388,0.48651685393258426,0.337,306,0.34600000000000003,-3.8
222,North Florida,23,0.2667,0.6551,0.9218000000000001,0.52,68.6,1282,0.445,0.181,0.714,232,325,0.488,0.5190258751902588,0.366,296,0.348,-4.18
223,North Texas,22,0.2801,0.7425,1.0226,0.52,66.8,1190,0.484,0.205,0.731,244,334,0.377,0.5519568151147098,0.372,297,0.591,-0.02
224,Northeastern,19,0.20190000000000002,0.7373999999999999,0.9392999999999999,0.51,68.4,1044,0.438,0.193,0.742,201,271,0.439,0.5034129692832765,0.354,234,0.526,0.81
225,Northern Arizona,20,0.24280000000000002,0.723,0.9658,0.47,64.9,1092,0.414,0.207,0.681,226,332,0.332,0.4506849315068493,0.34,211,0.25,-2.46
226,Northern Colorado,20,0.2348,0.7931999999999999,1.028,0.44,69.1,1100,0.444,0.205,0.659,226,343,0.433,0.5,0.37,215,0.5,-5.34
227,Northern Illinois,19,0.3257,0.6869,1.0126,0.45,67.4,1143,0.399,0.147,0.615,168,273,0.281,0.4282238442822384,0.324,204,0.158,-1.63
228,Northern Iowa,25,0.2579,0.7888,1.0467,0.51,68.9,1461,0.443,0.177,0.683,258,378,0.392,0.5185601799775028,0.325,329,0.4,2.73
229,Northern Kentucky,25,0.3494,0.6729999999999999,1.0224,0.45,66.2,1476,0.446,0.196,0.705,289,410,0.396,0.5369955156950673,0.307,295,0.56,-5.76
