,School,Wins,FG%,FT%,3P%,ORB,TRB,AST,STL,BLK,TOV,PF,tWins
87,Eastern Illinois,9,0.436,0.657,0.324,285,944,360,193,88,383,435,0
88,Eastern Kentucky,22,0.448,0.706,0.359,306,1033,461,299,103,372,533,0
89,Eastern Michigan,6,0.416,0.745,0.311,169,594,198,160,42,221,274,0
90,Eastern Washington,13,0.467,0.791,0.361,154,705,305,99,58,225,349,0
91,Elon,10,0.414,0.741,0.33,159,626,199,98,38,213,347,0
92,Evansville,9,0.44,0.718,0.377,149,670,291,122,56,274,377,0
93,Fairfield,7,0.401,0.692,0.313,227,803,240,106,50,304,417,0
94,Fairleigh Dickinson,9,0.45,0.712,0.375,244,813,287,182,93,340,439,0
95,Florida A&M,8,0.443,0.649,0.322,195,670,246,122,49,321,337,0
96,Florida Atlantic,12,0.466,0.651,0.375,266,857,306,163,59,288,378,0
97,Florida Gulf Coast,10,0.429,0.664,0.293,206,700,246,134,77,265,280,0
98,Florida International,9,0.43,0.666,0.335,252,847,388,219,105,380,463,0
99,Florida State,15,0.472,0.737,0.385,233,747,299,154,101,272,365,2
100,Florida,13,0.47,0.753,0.355,209,738,250,159,118,309,395,1
101,Fordham,2,0.359,0.67,0.269,95,415,153,87,28,187,221,0
102,Fresno State,11,0.422,0.669,0.322,243,784,225,144,62,306,384,0
103,Furman,16,0.487,0.724,0.342,223,879,416,205,84,313,428,0
104,Gardner-Webb,11,0.444,0.69,0.361,239,895,339,153,125,304,492,0
105,George Mason,13,0.429,0.642,0.329,254,834,287,159,93,282,353,0
106,George Washington,5,0.443,0.699,0.324,136,582,194,107,46,233,247,0
107,Georgetown,9,0.425,0.755,0.366,244,839,284,122,86,332,345,0
108,Georgia Southern,13,0.447,0.635,0.319,306,964,322,210,101,374,444,0
109,Georgia State,16,0.468,0.685,0.358,250,826,369,157,97,255,365,0
110,Georgia Tech,15,0.475,0.73,0.351,183,716,373,206,78,260,360,0
111,Georgia,14,0.459,0.69,0.318,308,939,374,214,61,420,466,0
112,Gonzaga,25,0.552,0.73,0.36,242,950,462,212,72,309,422,5
113,Grambling,11,0.428,0.668,0.331,181,751,313,182,67,335,392,0
114,Grand Canyon,15,0.492,0.676,0.327,215,831,348,101,61,278,364,0
115,Green Bay,8,0.435,0.749,0.333,228,817,352,138,90,269,405,0
116,Hampton,11,0.431,0.725,0.332,196,844,292,152,149,318,426,0
117,Hartford,14,0.437,0.703,0.333,180,726,246,152,43,282,356,0
