,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
146,Kent State,22,15,7,.682,3.87,-0.99,,12,6,,9,2,,6,5,,1701,1550,,885,615,1380,.446,178,544,.327,293,377,.777,282,873,319,149,76,296,371
147,Kentucky,24,9,15,.375,12.81,12.47,,8,9,,5,6,,4,7,,1688,1680,,970,589,1413,.417,149,449,.332,361,492,.734,290,921,294,152,146,344,433
148,La Salle,25,9,16,.360,-2.20,4.21,,6,11,,6,3,,3,11,,1702,1838,,1005,633,1453,.436,195,573,.340,241,352,.685,234,829,318,186,83,361,431
149,Lafayette,15,9,6,.600,-1.78,-2.78,,9,5,,6,3,,3,3,,1165,1150,,620,405,928,.436,129,358,.360,226,281,.804,133,525,243,94,51,163,280
150,Lamar,25,8,17,.320,-13.53,-6.65,,7,10,,5,5,,3,11,,1640,1812,,1010,589,1446,.407,122,402,.303,340,462,.736,255,883,303,181,101,354,420
151,Lehigh,15,4,11,.267,-9.03,-0.76,,4,10,,1,5,,3,6,,1025,1149,,605,388,901,.431,73,231,.316,176,251,.701,137,521,191,90,32,196,268
152,Liberty,28,23,5,.821,4.62,-6.38,,11,2,,13,0,,5,3,,2097,1670,,1120,761,1548,.492,289,740,.391,286,368,.777,198,934,446,128,64,271,407
153,Lipscomb,27,15,12,.556,-6.77,-5.33,,9,6,,10,4,,4,7,,1922,1848,,1085,687,1493,.460,200,569,.351,348,503,.692,208,918,364,167,53,326,376
154,Cal State Long Beach,16,5,11,.313,-11.51,-4.26,,4,8,,4,3,,1,8,,1156,1272,,660,400,914,.438,108,312,.346,248,366,.678,125,550,183,99,50,258,307
155,Long Island University,18,9,9,.500,-5.72,-6.77,,9,9,,6,3,,3,6,,1332,1313,,720,479,1155,.415,134,467,.287,240,360,.667,240,705,293,152,69,259,315
156,Longwood,28,12,16,.429,-7.19,-6.12,,10,10,,8,5,,4,11,,1854,1886,,1120,662,1527,.434,200,579,.345,330,481,.686,268,929,295,173,50,367,485
157,Louisiana,26,17,9,.654,-4.55,-5.21,,10,7,,10,3,,6,4,,1934,1892,,1050,713,1607,.444,185,532,.348,323,463,.698,317,1027,332,145,122,388,457
158,Louisiana-Monroe,26,7,19,.269,-10.36,-5.67,,5,13,,5,8,,2,10,,1670,1792,,1045,609,1464,.416,194,571,.340,258,367,.703,205,791,355,193,74,338,433
159,Louisiana State,24,16,8,.667,15.50,8.25,,11,6,,11,2,,4,6,,1984,1810,,965,697,1487,.469,194,562,.345,396,531,.746,268,915,300,194,66,292,424
160,Louisiana Tech,26,20,6,.769,6.95,-1.69,,12,4,,15,1,,5,5,,1936,1687,,1040,688,1536,.448,197,576,.342,363,533,.681,267,1016,323,176,67,332,397
161,Louisville,19,13,6,.684,11.95,9.69,,8,5,,9,2,,4,4,,1303,1260,,765,475,1084,.438,100,322,.311,253,353,.717,211,725,214,92,36,221,321
162,Loyola (IL),28,24,4,.857,14.82,0.13,,16,2,,13,0,,8,3,,2002,1555,,1130,735,1456,.505,201,546,.368,331,458,.723,201,914,442,194,67,334,399
163,Loyola Marymount,22,13,9,.591,4.57,3.07,,7,5,,8,3,,4,5,,1529,1496,,885,525,1147,.458,135,400,.338,344,474,.726,215,772,280,103,58,351,417
164,Loyola (MD),15,5,10,.333,0.48,-1.45,,4,10,,3,4,,2,6,,1087,1058,,630,406,878,.462,77,257,.300,198,326,.607,169,565,195,112,52,218,278
165,Maine,9,2,7,.222,-14.75,-3.31,,2,6,,1,1,,1,6,,478,581,,360,172,452,.381,64,203,.315,70,123,.569,69,281,108,51,40,147,161
166,Manhattan,19,7,12,.368,-11.33,-7.33,,6,12,,4,6,,3,6,,1210,1286,,780,417,1096,.380,113,417,.271,263,392,.671,233,680,225,145,69,278,427
167,Marist,20,12,8,.600,-7.77,-7.82,,10,8,,6,3,,6,5,,1270,1269,,810,455,1053,.432,134,434,.309,226,330,.685,144,698,222,111,78,291,349
168,Marquette,26,13,13,.500,10.05,9.39,,8,11,,7,7,,6,6,,1834,1817,,1045,640,1426,.449,174,531,.328,380,516,.736,251,947,326,132,96,372,447
169,Marshall,21,15,6,.714,6.75,-1.16,,9,5,,9,3,,6,3,,1690,1524,,845,628,1315,.478,194,533,.364,240,330,.727,173,745,336,164,110,251,319
170,Maryland-Baltimore County,20,14,6,.700,-0.24,-4.89,,10,4,,5,4,,9,2,,1391,1298,,800,483,1099,.439,139,408,.341,286,402,.711,175,730,219,102,35,258,336
171,Maryland-Eastern Shore,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
172,Maryland,27,15,12,.556,15.47,12.74,,9,11,,11,6,,4,6,,1861,1748,,1080,652,1424,.458,220,617,.357,337,481,.701,172,904,359,136,94,302,402
173,Massachusetts-Lowell,22,11,11,.500,-4.72,-2.81,,7,8,,3,4,,6,5,,1525,1567,,880,542,1179,.460,143,399,.358,298,452,.659,191,756,262,112,84,320,451
174,Massachusetts,15,8,7,.533,6.01,2.28,,6,4,,4,3,,3,3,,1151,1095,,615,394,920,.428,132,405,.326,231,315,.733,136,517,224,110,61,181,261
175,McNeese State,23,10,13,.435,-18.02,-10.90,,4,11,,7,5,,3,8,,1859,1651,,920,694,1403,.495,197,502,.392,274,399,.687,244,854,428,167,45,339,395
176,Memphis,22,15,7,.682,12.63,2.85,,11,4,,10,1,,4,3,,1586,1371,,880,575,1305,.441,166,467,.355,270,437,.618,269,885,355,197,112,360,428
177,Mercer,29,18,11,.621,1.87,-1.02,,8,9,,9,4,,6,6,,2225,2082,,1180,832,1738,.479,250,673,.371,311,433,.718,252,1053,479,200,86,373,445
178,Merrimack,18,9,9,.500,-7.02,-6.63,,9,9,,6,3,,3,6,,1193,1200,,725,434,967,.449,126,398,.317,199,300,.663,124,556,216,144,68,245,305
179,Miami (FL),24,8,16,.333,3.35,8.64,,4,15,,7,8,,1,8,,1582,1709,,965,570,1362,.419,135,460,.293,307,443,.693,234,851,269,160,94,304,299
180,Miami (OH),22,12,10,.545,-1.44,-2.01,,9,8,,7,4,,5,6,,1600,1573,,885,573,1307,.438,191,522,.366,263,341,.771,217,766,268,98,56,240,370
181,Michigan State,26,15,11,.577,11.59,12.74,,9,11,,12,3,,3,8,,1807,1837,,1040,646,1521,.425,168,521,.322,347,476,.729,285,978,418,116,123,334,512
182,Michigan,22,19,3,.864,23.65,12.33,,14,3,,13,1,,6,2,,1684,1435,,885,617,1265,.488,165,427,.386,283,370,.765,200,831,336,97,97,256,329
183,Middle Tennessee,22,5,17,.227,-10.34,-0.82,,3,13,,5,6,,0,9,,1370,1551,,880,495,1276,.388,163,507,.321,217,319,.680,217,743,219,159,50,333,360
184,Milwaukee,22,10,12,.455,-6.67,-5.94,,7,10,,4,5,,6,6,,1662,1678,,900,588,1348,.436,159,484,.329,327,447,.732,197,770,285,134,47,244,405
185,Minnesota,27,13,14,.481,12.06,12.83,,6,14,,13,4,,0,10,,1977,1998,,1095,658,1668,.394,194,678,.286,467,618,.756,315,984,374,169,122,296,502
186,Mississippi State,27,14,13,.519,9.96,6.21,,8,10,,9,6,,5,4,,1875,1774,,1100,699,1535,.455,145,415,.349,332,518,.641,329,1049,351,176,128,402,421
187,Mississippi Valley State,23,2,21,.087,-38.51,-7.82,,2,13,,1,5,,1,16,,1300,2006,,920,458,1284,.357,207,623,.332,177,312,.567,155,709,256,104,67,416,413
188,Mississippi,25,15,10,.600,11.97,6.37,,10,8,,10,4,,5,6,,1717,1577,,1005,624,1411,.442,130,437,.297,339,488,.695,298,904,309,198,94,349,429
189,Missouri-Kansas City,24,11,13,.458,-5.28,-3.03,,7,7,,8,3,,2,8,,1683,1502,,960,642,1292,.497,149,407,.366,250,379,.660,175,730,355,190,50,300,524
190,Missouri State,24,17,7,.708,5.50,0.32,,12,6,,9,4,,7,2,,1762,1594,,960,637,1332,.478,180,515,.350,308,415,.742,188,887,325,112,69,305,369
191,Missouri,23,15,8,.652,13.21,11.21,,8,8,,8,4,,6,4,,1704,1658,,930,598,1327,.451,160,502,.319,348,499,.697,231,821,306,151,81,303,453
192,Monmouth,19,12,7,.632,-3.66,-6.50,,12,6,,7,2,,5,5,,1461,1407,,775,499,1166,.428,148,405,.365,315,446,.706,191,722,270,153,67,261,394
193,Montana State,20,11,9,.550,-7.54,-6.32,,8,6,,5,3,,6,6,,1497,1450,,810,518,1127,.460,132,386,.342,329,439,.749,169,663,237,113,41,250,376
194,Montana,25,13,12,.520,-3.84,-2.34,,7,9,,8,4,,5,8,,1782,1659,,1015,624,1350,.462,136,366,.372,398,503,.791,197,844,324,114,65,333,508
195,Morehead State,30,23,7,.767,-0.26,-4.37,,17,3,,12,1,,8,5,,2065,1902,,1210,738,1601,.461,197,562,.351,392,575,.682,309,1125,382,132,150,459,432
196,Morgan State,19,12,7,.632,-6.38,-11.00,,7,5,,5,5,,7,2,,1533,1399,,760,532,1208,.440,162,466,.348,307,414,.742,251,743,295,148,71,292,393
197,Mount St. Mary's,21,11,10,.524,-3.83,-5.07,,9,7,,6,3,,5,6,,1329,1303,,850,485,1135,.427,141,416,.339,218,323,.675,226,775,249,96,81,281,317
198,Murray State,26,13,13,.500,-2.30,-7.63,,10,10,,9,4,,4,8,,1986,1739,,1045,757,1522,.497,212,576,.368,260,387,.672,239,939,435,175,91,347,432
199,Navy,18,15,3,.833,4.00,-0.50,,12,1,,8,2,,6,1,,1287,1206,,730,466,1042,.447,111,340,.326,244,344,.709,204,631,222,147,43,223,301
200,Omaha,25,5,20,.200,-13.13,-2.49,,3,11,,1,5,,3,12,,1683,1949,,1000,625,1494,.418,133,397,.335,300,436,.688,212,853,236,141,75,327,471
201,Nebraska,26,7,19,.269,7.23,13.43,,3,16,,6,9,,1,10,,1823,1932,,1045,647,1544,.419,219,651,.336,310,488,.635,233,952,355,185,84,368,450
202,Nevada-Las Vegas,25,11,14,.440,-1.68,1.32,,8,10,,8,4,,3,7,,1742,1696,,1000,656,1474,.445,210,600,.350,220,312,.705,261,903,327,159,69,309,460
203,Nevada,24,15,9,.625,4.67,1.11,,8,7,,10,2,,2,7,,1757,1653,,960,596,1331,.448,187,528,.354,378,501,.754,191,854,347,133,72,303,473
204,New Hampshire,19,10,9,.526,-7.15,-5.65,,9,6,,5,6,,5,3,,1278,1266,,765,452,1124,.402,129,405,.319,245,358,.684,205,706,213,104,55,209,344
205,New Mexico State,17,10,7,.588,-2.77,-6.49,,7,6,,4,2,,5,5,,1211,1086,,680,421,996,.423,145,472,.307,224,310,.723,214,624,219,88,39,206,294
206,New Mexico,21,6,15,.286,-12.45,-1.66,,1,8,,0,0,,3,8,,1359,1493,,850,515,1247,.413,93,354,.263,236,397,.594,283,816,262,118,85,311,372
207,New Orleans,23,9,14,.391,-10.88,-8.97,,8,7,,6,3,,2,10,,1740,1765,,930,653,1383,.472,126,391,.322,308,421,.732,235,818,365,169,65,385,479
208,Niagara,18,8,10,.444,-6.74,-6.18,,7,9,,5,3,,3,7,,1162,1172,,720,407,990,.411,118,365,.323,230,326,.706,141,564,213,101,33,178,295
209,Nicholls State,23,17,6,.739,-4.61,-9.43,,14,2,,8,1,,7,5,,1827,1676,,930,685,1487,.461,185,554,.334,272,405,.672,252,876,313,211,75,300,429
210,NJIT,19,7,12,.368,-8.89,-4.84,,6,10,,3,5,,4,6,,1256,1333,,770,440,1088,.404,119,390,.305,257,372,.691,168,596,181,127,42,212,336
211,Norfolk State,21,14,7,.667,-6.57,-9.67,,8,4,,7,4,,6,3,,1572,1470,,845,540,1240,.435,159,437,.364,333,477,.698,215,772,248,131,67,275,409
212,North Alabama,24,13,11,.542,-9.67,-5.92,,7,8,,8,4,,3,6,,1756,1666,,970,624,1457,.428,192,569,.337,316,424,.745,263,936,272,141,77,332,423
213,North Carolina-Asheville,20,10,10,.500,-6.28,-6.88,,9,5,,6,4,,4,6,,1468,1456,,815,548,1151,.476,161,450,.358,211,348,.606,186,669,254,140,87,302,368
214,North Carolina A&T,21,11,10,.524,-13.51,-7.30,,7,1,,5,4,,5,6,,1517,1523,,845,536,1273,.421,137,429,.319,308,468,.658,228,736,285,183,56,294,367
215,North Carolina Central,13,5,8,.385,-13.49,-8.07,,3,5,,4,2,,0,6,,884,916,,525,314,731,.430,90,259,.347,166,236,.703,114,422,160,99,34,192,270
216,North Carolina-Greensboro,29,21,8,.724,3.94,-2.24,,13,5,,7,3,,10,3,,2135,1956,,1165,803,1894,.424,221,736,.300,308,451,.683,370,1142,356,217,114,319,524
217,North Carolina State,22,13,9,.591,11.12,7.08,,9,8,,7,4,,5,5,,1616,1527,,885,595,1257,.473,148,408,.363,278,399,.697,214,715,288,186,104,284,358
218,North Carolina-Wilmington,17,7,10,.412,-6.13,-5.76,,1,6,,3,4,,3,4,,1297,1253,,685,442,1011,.437,128,371,.345,285,372,.766,162,548,206,103,60,190,306
219,North Carolina,25,16,9,.640,15.04,9.88,,10,6,,10,1,,3,7,,1871,1742,,1000,686,1553,.442,134,433,.309,365,544,.671,383,1069,393,178,109,379,422
220,North Dakota State,26,15,11,.577,-0.93,-3.20,,11,5,,6,2,,5,7,,1811,1752,,1045,634,1427,.444,177,524,.338,366,482,.759,244,956,269,100,68,327,412
221,North Dakota,26,9,17,.346,-10.80,-3.80,,8,8,,5,3,,3,11,,1787,1969,,1055,623,1454,.428,190,564,.337,351,503,.698,214,844,306,134,55,340,448
222,North Florida,23,8,15,.348,-11.03,-4.18,,6,6,,5,3,,3,10,,1601,1725,,920,570,1282,.445,229,625,.366,232,325,.714,204,751,296,102,76,344,386
223,North Texas,22,13,9,.591,7.36,-0.02,,9,5,,8,3,,5,6,,1563,1376,,880,576,1190,.484,167,449,.372,244,334,.731,186,734,297,152,63,301,352
224,Northeastern,19,10,9,.526,-0.29,0.81,,8,2,,5,1,,4,7,,1277,1298,,765,457,1044,.438,162,458,.354,201,271,.742,126,623,234,119,44,257,299
225,Northern Arizona,20,5,15,.250,-15.21,-2.46,,4,10,,1,7,,4,7,,1253,1508,,805,452,1092,.414,123,362,.340,226,332,.681,168,570,211,109,29,231,351
226,Northern Colorado,20,10,10,.500,-8.04,-5.34,,6,8,,6,5,,4,5,,1378,1345,,805,488,1100,.444,176,476,.370,226,343,.659,154,687,215,90,49,280,360
227,Northern Illinois,19,3,16,.158,-16.73,-1.63,,2,12,,2,7,,1,9,,1184,1471,,765,456,1143,.399,104,321,.324,168,273,.615,243,684,204,110,65,261,342
228,Northern Iowa,25,10,15,.400,-1.45,2.73,,7,11,,6,5,,3,7,,1738,1779,,1010,647,1461,.443,186,572,.325,258,378,.683,229,894,329,161,64,326,380
229,Northern Kentucky,25,14,11,.560,-5.64,-5.76,,11,7,,9,4,,5,6,,1784,1781,,1015,658,1476,.446,179,584,.307,289,410,.705,305,871,295,161,41,312,417
230,Northwestern State,27,10,17,.370,-13.39,-4.54,,9,7,,6,4,,4,12,,1948,2145,,1090,718,1663,.432,196,569,.344,316,471,.671,275,957,346,182,81,394,503
231,Northwestern,23,9,14,.391,11.31,13.22,,6,13,,7,6,,2,8,,1640,1630,,930,589,1343,.439,195,548,.356,267,367,.728,171,768,343,139,61,270,403
232,Notre Dame,24,10,14,.417,10.45,10.62,,7,11,,6,5,,4,8,,1751,1755,,960,630,1360,.463,217,590,.368,274,356,.770,166,805,364,102,91,251,306
233,Oakland,29,12,17,.414,-7.88,-1.50,,10,10,,5,4,,6,11,,2171,2356,,1200,752,1794,.419,248,740,.335,419,599,.699,337,1018,430,241,54,376,428
234,Ohio State,26,18,8,.692,19.96,13.04,,12,8,,10,4,,7,4,,1998,1818,,1040,679,1475,.460,212,587,.361,428,556,.770,253,934,329,119,86,271,470
235,Ohio,20,13,7,.650,3.93,-1.91,,9,5,,8,3,,4,4,,1604,1473,,800,592,1222,.484,169,482,.351,251,357,.703,191,690,362,136,47,239,320
236,Oklahoma State,25,18,7,.720,13.62,9.22,,11,7,,10,3,,8,4,,1917,1807,,1025,687,1473,.466,160,474,.338,383,539,.711,275,968,328,184,105,400,424
237,Oklahoma,23,14,9,.609,14.34,8.30,,9,8,,10,3,,4,6,,1728,1589,,935,619,1413,.438,185,556,.333,305,411,.742,234,838,307,169,76,244,339
238,Old Dominion,22,15,7,.682,-0.83,-0.88,,11,5,,9,1,,6,6,,1516,1495,,885,563,1255,.449,111,380,.292,279,404,.691,216,795,274,167,81,280,353
239,Oral Roberts,25,15,10,.600,-0.68,-2.45,,10,5,,8,3,,5,7,,2051,1898,,1000,708,1555,.455,285,724,.394,350,425,.824,212,878,315,162,100,290,445
240,Oregon State,26,14,12,.538,6.25,7.09,,10,10,,10,6,,4,6,,1821,1770,,1045,637,1476,.432,174,509,.342,373,491,.760,271,882,383,160,90,293,487
241,Oregon,24,19,5,.792,14.01,6.76,,14,4,,11,2,,7,2,,1779,1605,,960,656,1399,.469,202,532,.380,265,372,.712,225,802,318,178,86,278,377
242,Pacific,18,9,9,.500,1.66,4.25,,6,7,,6,2,,3,6,,1256,1272,,735,479,1093,.438,93,311,.299,205,302,.679,182,622,233,116,61,215,335
243,Penn State,23,10,13,.435,14.94,15.54,,7,12,,7,5,,3,8,,1670,1684,,930,588,1445,.407,207,607,.341,287,393,.730,281,836,303,183,54,262,410
244,Pennsylvania,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
245,Pepperdine,24,12,12,.500,3.78,5.23,,7,6,,7,5,,3,5,,1830,1790,,980,650,1425,.456,168,521,.322,362,464,.780,193,834,381,151,70,319,462
246,Pittsburgh,21,10,11,.476,9.42,8.04,,6,10,,7,6,,3,5,,1493,1464,,840,525,1222,.430,134,402,.333,309,459,.673,267,806,312,130,75,263,362
247,Portland State,21,9,12,.429,-6.56,-5.44,,6,8,,7,6,,2,6,,1446,1386,,845,513,1279,.401,146,487,.300,274,411,.667,276,800,240,172,66,288,420
248,Portland,21,6,15,.286,-13.93,3.74,,0,11,,5,8,,1,6,,1459,1748,,845,488,1187,.411,153,451,.339,330,426,.775,138,600,250,132,61,292,340
249,Prairie View,18,14,4,.778,-7.41,-14.52,,13,0,,8,0,,5,3,,1270,1142,,720,482,1064,.453,116,384,.302,190,285,.667,191,615,302,182,78,257,378
250,Presbyterian,22,7,15,.318,-13.28,-8.32,,5,12,,5,6,,2,9,,1411,1476,,885,499,1199,.416,128,418,.306,285,416,.685,248,739,235,154,49,334,440
251,Princeton,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
252,Providence,25,13,12,.520,10.65,10.21,,9,10,,8,3,,4,7,,1754,1743,,1020,637,1472,.433,157,487,.322,323,454,.711,262,893,340,141,77,290,422
253,Purdue,26,18,8,.692,17.83,12.49,,13,6,,11,1,,5,6,,1842,1703,,1040,662,1465,.452,183,547,.335,335,465,.720,281,980,370,136,85,330,458
254,Quinnipiac,21,9,12,.429,-7.36,-6.93,,7,10,,8,5,,1,5,,1437,1446,,855,489,1201,.407,162,496,.327,297,425,.699,160,760,267,118,98,301,403
255,Radford,27,15,12,.556,-5.53,-5.93,,12,6,,9,5,,6,6,,1826,1745,,1100,644,1408,.457,158,504,.313,380,558,.681,297,999,301,164,48,403,424
256,Rhode Island,25,10,15,.400,6.22,5.86,,7,10,,6,3,,2,9,,1786,1777,,1020,635,1436,.442,143,458,.312,373,558,.668,266,962,303,164,114,353,444
257,Rice,25,13,12,.520,-4.30,-1.76,,6,10,,9,3,,3,9,,1875,1869,,1000,661,1510,.438,260,734,.354,293,403,.727,252,943,382,137,53,378,352
258,Richmond,21,13,8,.619,9.67,5.67,,6,5,,6,4,,5,3,,1574,1453,,840,575,1213,.474,156,441,.354,268,367,.730,135,635,305,186,44,222,320
259,Rider,22,6,16,.273,-11.03,-4.94,,5,13,,1,8,,4,8,,1493,1627,,885,542,1273,.426,140,400,.350,269,365,.737,200,748,273,110,46,277,418
260,Robert Morris,19,4,15,.211,-11.96,-4.30,,3,12,,3,6,,1,9,,1374,1494,,790,518,1169,.443,142,394,.360,196,299,.656,207,646,299,124,57,254,348
261,Rutgers,24,14,10,.583,15.52,13.19,,10,10,,10,4,,4,6,,1690,1634,,965,647,1430,.452,149,471,.316,247,396,.624,239,858,336,190,127,271,417
262,Sacramento State,19,8,11,.421,-8.27,-4.33,,5,9,,5,3,,3,8,,1360,1352,,775,497,1096,.453,126,352,.358,240,352,.682,182,608,246,133,43,198,342
263,Sacred Heart,18,9,9,.500,-10.22,-5.49,,9,7,,4,3,,5,6,,1265,1350,,735,431,1046,.412,143,434,.329,260,351,.741,195,647,241,88,38,233,299
264,Saint Francis (PA),22,6,16,.273,-8.40,-3.90,,5,13,,4,6,,2,10,,1515,1614,,890,541,1266,.427,129,417,.309,304,426,.714,228,779,282,127,47,312,378
265,Saint Joseph's,20,5,15,.250,-3.42,7.03,,3,9,,3,3,,1,9,,1443,1652,,825,506,1238,.409,191,609,.314,240,331,.725,165,675,287,120,36,281,358
266,Saint Louis,20,14,6,.700,13.10,2.75,,6,4,,12,1,,1,4,,1507,1300,,800,559,1205,.464,131,372,.352,258,367,.703,249,774,353,141,63,241,341
267,Saint Mary's (CA),23,14,9,.609,7.66,5.88,,4,6,,9,3,,2,3,,1475,1434,,920,538,1279,.421,141,482,.293,258,354,.729,198,792,241,142,72,260,387
268,Saint Peter's,23,13,10,.565,-4.23,-5.66,,10,8,,8,3,,4,7,,1458,1425,,920,508,1288,.394,141,445,.317,301,433,.695,257,860,267,192,124,345,470
269,Sam Houston State,27,19,8,.704,-2.77,-4.47,,13,3,,12,1,,7,6,,2160,1899,,1080,769,1697,.453,245,693,.354,377,544,.693,306,995,420,232,84,386,553
270,Samford,19,6,13,.316,-8.40,-1.11,,2,9,,4,5,,2,7,,1460,1510,,775,541,1218,.444,151,484,.312,227,331,.686,222,755,283,129,47,308,397
271,San Diego State,24,20,4,.833,15.11,1.98,,14,3,,13,2,,6,2,,1786,1442,,965,620,1367,.454,211,555,.380,335,465,.720,240,877,340,199,68,281,438
272,San Diego,14,3,11,.214,-6.49,4.37,,2,7,,0,5,,3,5,,927,1079,,565,352,847,.416,82,270,.304,141,217,.650,112,469,185,94,48,185,252
273,San Francisco,25,11,14,.440,5.03,2.87,,4,9,,3,5,,4,6,,1786,1732,,1000,647,1514,.427,259,760,.341,233,325,.717,226,833,295,179,81,292,483
274,San Jose State,20,5,15,.250,-16.61,1.28,,2,12,,4,6,,0,8,,1301,1599,,800,465,1191,.390,148,474,.312,223,346,.645,164,688,198,97,57,255,329
275,Santa Clara,20,12,8,.600,-1.11,1.10,,4,5,,6,3,,4,3,,1393,1412,,800,486,1121,.434,110,359,.306,311,455,.684,164,729,240,88,78,260,357
276,Seattle,21,11,10,.524,-6.37,-5.43,,4,5,,6,3,,3,6,,1547,1431,,845,546,1304,.419,171,544,.314,284,384,.740,220,716,251,137,77,226,398
277,Seton Hall,25,13,12,.520,12.20,10.48,,10,9,,7,4,,6,7,,1789,1746,,1010,624,1403,.445,170,527,.323,371,502,.739,249,854,326,161,106,322,403
278,Siena,16,12,4,.750,-2.98,-8.04,,12,4,,6,2,,6,2,,1097,1016,,640,391,852,.459,103,299,.344,212,317,.669,148,565,207,88,52,202,240
279,South Alabama,28,17,11,.607,-5.45,-5.28,,10,7,,10,5,,6,5,,2075,1985,,1135,715,1621,.441,256,707,.362,389,542,.718,269,996,314,200,91,333,434
280,South Carolina State,18,1,17,.056,-23.87,-6.54,,1,7,,1,6,,0,11,,1102,1414,,720,401,1033,.388,123,388,.317,177,285,.621,175,563,178,106,50,312,334
281,South Carolina Upstate,23,5,18,.217,-13.01,-4.51,,5,11,,3,8,,2,10,,1515,1712,,920,538,1269,.424,171,508,.337,268,372,.720,186,717,276,143,57,325,426
282,South Carolina,20,6,14,.300,4.55,10.65,,4,12,,3,6,,2,7,,1464,1586,,800,545,1305,.418,140,455,.308,234,359,.652,256,723,270,172,74,304,383
283,South Dakota State,23,16,7,.696,2.76,-2.56,,9,3,,8,1,,4,2,,1850,1690,,920,655,1315,.498,185,458,.404,355,496,.716,178,822,327,127,71,283,370
284,South Dakota,25,14,11,.560,-1.64,-3.89,,11,4,,7,2,,5,4,,1899,1805,,1000,674,1438,.469,186,478,.389,365,468,.780,180,870,349,114,61,268,467
285,South Florida,20,8,12,.400,-0.33,6.67,,4,10,,4,6,,3,4,,1309,1432,,805,464,1152,.403,123,380,.324,258,402,.642,252,745,227,109,53,289,346
286,Southeast Missouri State,27,11,16,.407,-9.66,-6.99,,9,11,,7,6,,3,9,,1864,1936,,1110,630,1468,.429,205,582,.352,399,595,.671,258,949,374,185,64,415,513
287,Southeastern Louisiana,24,7,17,.292,-16.89,-7.31,,5,11,,3,4,,4,13,,1641,1871,,975,544,1374,.396,167,552,.303,386,577,.669,289,825,241,157,60,387,474
288,Southern California,27,21,6,.778,17.67,7.45,,15,5,,13,2,,7,3,,2007,1731,,1090,732,1575,.465,169,492,.343,374,581,.644,340,1077,374,133,141,339,415
289,SIU Edwardsville,26,9,17,.346,-14.37,-5.45,,7,12,,2,8,,6,7,,1709,1897,,1040,619,1403,.441,156,490,.318,315,463,.680,226,852,337,153,121,413,438
290,Southern Illinois,26,12,14,.462,-3.23,1.05,,5,13,,8,5,,3,8,,1704,1770,,1050,614,1362,.451,210,560,.375,266,400,.665,139,772,352,160,48,311,370
291,Southern Methodist,15,11,4,.733,12.05,4.38,,7,4,,6,2,,5,2,,1114,999,,600,402,879,.457,110,324,.340,200,271,.738,153,559,230,92,68,208,257
292,Southern Mississippi,24,8,16,.333,-6.54,-1.95,,4,13,,6,7,,2,9,,1553,1607,,965,581,1338,.434,132,407,.324,259,384,.674,201,847,285,140,48,337,384
293,Southern Utah,22,19,3,.864,0.22,-6.55,,12,2,,14,0,,5,3,,1853,1506,,880,642,1343,.478,195,579,.337,374,506,.739,245,874,317,156,56,270,372
294,Southern,18,8,10,.444,-12.96,-12.80,,8,6,,5,2,,3,7,,1260,1263,,730,444,1022,.434,99,302,.328,273,406,.672,171,654,257,143,49,289,375
295,St. Bonaventure,19,15,4,.789,14.94,4.73,,11,4,,8,1,,4,3,,1336,1142,,760,496,1099,.451,123,351,.350,221,303,.729,216,703,284,117,74,211,290
296,St. Francis (NY),19,9,10,.474,-8.22,-6.38,,9,9,,4,6,,5,4,,1476,1511,,765,542,1215,.446,118,356,.331,274,373,.735,216,688,271,153,66,229,383
297,St. John's (NY),26,16,10,.615,10.73,8.11,,10,9,,11,3,,4,6,,2063,1995,,1050,755,1671,.452,194,556,.349,359,479,.749,288,931,430,238,104,332,469
298,Stanford,26,14,12,.538,9.09,8.24,,10,10,,5,4,,6,6,,1825,1803,,1060,658,1408,.467,140,436,.321,369,516,.715,204,883,323,183,90,392,434
299,Stephen F. Austin,21,16,5,.762,-1.63,-8.47,,13,3,,10,1,,6,4,,1686,1484,,850,622,1195,.521,100,297,.337,342,503,.680,243,749,331,199,73,348,419
300,Stetson,25,11,14,.440,-7.28,-4.46,,7,9,,7,5,,3,8,,1800,1767,,1005,642,1470,.437,236,622,.379,280,401,.698,259,870,351,178,68,331,404
301,Stony Brook,23,9,14,.391,-5.20,-3.79,,7,9,,5,5,,4,8,,1522,1509,,930,543,1318,.412,140,473,.296,296,434,.682,262,875,278,129,114,318,387
302,Syracuse,23,15,8,.652,13.20,8.42,,9,7,,13,1,,2,7,,1738,1628,,925,618,1417,.436,181,551,.328,321,409,.785,251,834,347,206,114,261,332
