,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
31,Brigham Young,25,20,5,.800,14.68,5.18,,10,3,,11,2,,7,2,,1969,1692,,70.5,110.0,.282,.395,.583,55.0,57.9,6.6,7.2,.558,16.7,29.0,.206
32,Brown,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
33,Bryant,20,15,5,.750,1.50,-5.87,,10,4,,10,0,,5,5,,1693,1498,,77.0,109.9,.360,.397,.585,52.0,54.8,9.0,8.5,.550,17.8,30.1,.271
34,Bucknell,11,5,6,.455,-3.50,-3.59,,4,6,,2,3,,3,3,,824,823,,72.9,102.9,.379,.387,.565,48.8,46.8,8.0,7.9,.521,16.3,20.0,.291
35,Buffalo,21,14,7,.667,8.31,-1.34,,12,5,,8,3,,5,3,,1737,1527,,75.3,109.2,.288,.313,.541,55.4,52.9,11.1,9.7,.517,15.3,36.9,.196
36,Butler,23,9,14,.391,6.37,10.67,,8,12,,8,4,,1,9,,1462,1561,,65.6,95.9,.303,.397,.501,49.0,54.0,8.3,5.9,.476,15.4,25.6,.194
37,Cal Poly,22,3,19,.136,-15.81,-2.72,,1,15,,3,8,,0,11,,1339,1560,,68.6,88.2,.297,.371,.487,46.5,56.7,8.9,9.5,.449,18.5,22.4,.212
38,Cal State Bakersfield,25,15,10,.600,-1.11,-3.55,,11,7,,9,2,,6,8,,1755,1607,,65.8,106.2,.278,.272,.524,56.4,53.7,9.7,10.5,.494,16.0,39.5,.199
39,Cal State Fullerton,15,6,9,.400,-6.75,-3.60,,5,9,,5,4,,1,5,,1150,1170,,72.9,104.4,.343,.345,.558,47.2,51.1,9.0,5.1,.521,15.9,24.1,.255
40,Cal State Northridge,21,9,12,.429,-8.88,-2.93,,5,9,,4,7,,4,4,,1523,1624,,70.6,102.1,.309,.377,.530,47.4,53.0,9.1,6.2,.496,14.7,25.1,.222
41,California Baptist,22,13,9,.591,-5.46,-6.18,,6,6,,11,4,,2,5,,1754,1591,,71.1,111.5,.338,.412,.589,53.2,64.1,7.1,6.1,.559,16.5,29.5,.249
