,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
132,Indiana State,25,15,10,.600,2.49,2.37,,11,7,,9,3,,5,6,,1662,1645,,66.8,99.6,.359,.334,.530,48.9,46.0,9.8,8.7,.489,16.2,25.0,.264
133,Indiana,26,12,14,.462,14.54,13.77,,7,12,,6,6,,3,7,,1832,1812,,67.3,101.3,.420,.325,.525,49.1,57.2,8.2,10.5,.489,15.2,25.3,.282
134,Iona,13,8,5,.615,-2.00,-7.00,,6,3,,4,2,,4,3,,971,906,,71.3,104.7,.350,.398,.562,53.0,58.3,9.9,13.3,.525,19.5,32.9,.260
135,Iowa State,23,2,21,.087,-0.62,10.73,,0,18,,2,10,,0,11,,1501,1762,,70.4,92.7,.203,.386,.510,45.2,47.1,9.1,8.2,.481,19.1,24.0,.158
136,Iowa,27,20,7,.741,23.85,10.92,,14,6,,14,2,,6,4,,2296,1947,,71.0,119.2,.330,.403,.580,52.2,63.9,7.8,11.4,.554,11.5,31.3,.234
137,Purdue-Fort Wayne,23,8,15,.348,-11.02,-7.50,,6,14,,5,6,,3,9,,1728,1809,,69.4,104.2,.302,.405,.600,49.3,52.0,9.4,7.5,.582,21.4,26.2,.208
138,IUPUI,18,8,10,.444,-10.58,-5.97,,7,9,,4,5,,4,5,,1281,1364,,72.7,97.9,.305,.389,.523,48.6,52.9,9.5,5.9,.490,17.0,25.4,.219
139,Jackson State,16,11,5,.688,-11.34,-13.90,,11,0,,6,0,,5,5,,1026,985,,70.7,90.0,.412,.296,.483,51.5,48.8,11.4,8.2,.439,19.2,29.2,.278
140,Jacksonville State,27,18,9,.667,-2.50,-5.54,,13,6,,8,3,,7,5,,2005,1851,,68.0,107.7,.316,.393,.556,53.4,53.0,7.3,9.8,.531,16.6,32.3,.217
141,Jacksonville,24,11,13,.458,-10.86,-6.45,,5,9,,7,5,,4,8,,1622,1668,,69.5,96.7,.340,.398,.529,48.0,46.6,9.8,7.4,.502,18.3,24.8,.226
142,James Madison,20,13,7,.650,0.62,-2.44,,8,2,,10,3,,3,3,,1562,1409,,72.4,107.9,.386,.405,.549,50.2,50.8,10.3,6.4,.521,14.6,29.4,.258
143,Kansas State,27,8,19,.296,-0.41,9.09,,4,14,,6,12,,2,7,,1653,1913,,66.5,92.0,.287,.412,.497,49.9,58.3,7.9,5.0,.469,19.4,29.3,.190
144,Kansas,27,19,8,.704,16.66,10.35,,12,6,,13,1,,4,6,,1978,1779,,69.6,104.8,.309,.362,.532,52.7,52.0,9.6,11.4,.501,15.2,31.9,.219
145,Kennesaw State,24,5,19,.208,-13.75,-3.27,,1,13,,4,9,,0,9,,1571,1672,,69.7,93.9,.296,.387,.507,50.0,45.5,8.2,6.7,.481,18.0,25.5,.195
146,Kent State,22,15,7,.682,3.87,-0.99,,12,6,,9,2,,6,5,,1701,1550,,70.9,108.4,.273,.394,.546,54.0,51.9,9.5,9.5,.510,16.0,35.4,.212
147,Kentucky,24,9,15,.375,12.81,12.47,,8,9,,5,6,,4,7,,1688,1680,,70.1,99.3,.348,.318,.513,51.7,49.9,8.9,15.3,.470,17.3,33.1,.255
148,La Salle,25,9,16,.360,-2.20,4.21,,6,11,,6,3,,3,11,,1702,1838,,69.7,97.2,.242,.394,.525,48.5,50.2,10.6,9.4,.503,18.2,26.8,.166
149,Lafayette,15,9,6,.600,-1.78,-2.78,,9,5,,6,3,,3,3,,1165,1150,,70.2,107.1,.303,.386,.549,47.3,60.0,8.6,7.9,.506,13.3,23.7,.244
150,Lamar,25,8,17,.320,-13.53,-6.65,,7,10,,5,5,,3,11,,1640,1812,,69.9,92.9,.320,.278,.492,49.1,51.4,10.3,10.8,.450,17.5,27.4,.235
151,Lehigh,15,4,11,.267,-9.03,-0.76,,4,10,,1,5,,3,6,,1025,1149,,71.3,95.0,.279,.256,.502,49.4,49.2,8.3,5.6,.471,16.1,24.9,.195
152,Liberty,28,23,5,.821,4.62,-6.38,,11,2,,13,0,,5,3,,2097,1670,,64.5,116.0,.238,.478,.609,53.0,58.6,7.1,6.7,.585,13.6,23.8,.185
153,Lipscomb,27,15,12,.556,-6.77,-5.33,,9,6,,10,4,,4,7,,1922,1848,,68.4,103.7,.337,.381,.555,49.6,53.0,9.0,5.8,.527,15.8,23.6,.233
154,Cal State Long Beach,16,5,11,.313,-11.51,-4.26,,4,8,,4,3,,1,8,,1156,1272,,73.7,95.1,.400,.341,.531,46.2,45.8,8.1,7.8,.497,19.2,22.0,.271
155,Long Island University,18,9,9,.500,-5.72,-6.77,,9,9,,6,3,,3,6,,1332,1313,,74.5,99.3,.312,.404,.502,51.1,61.2,11.3,9.7,.473,16.3,32.9,.208
156,Longwood,28,12,16,.429,-7.19,-6.12,,10,10,,8,5,,4,11,,1854,1886,,66.2,100.0,.315,.379,.528,50.1,44.6,9.3,6.1,.499,17.3,28.1,.216
157,Louisiana,26,17,9,.654,-4.55,-5.21,,10,7,,10,3,,6,4,,1934,1892,,72.1,102.2,.288,.331,.529,53.5,46.6,7.7,11.0,.501,17.5,33.6,.201
158,Louisiana-Monroe,26,7,19,.269,-10.36,-5.67,,5,13,,5,8,,2,10,,1670,1792,,67.7,94.5,.251,.390,.510,44.9,58.3,10.9,8.1,.482,17.1,22.7,.176
159,Louisiana State,24,16,8,.667,15.50,8.25,,11,6,,11,2,,4,6,,1984,1810,,73.2,112.3,.357,.378,.570,50.6,43.0,11.0,7.9,.534,14.4,31.1,.266
160,Louisiana Tech,26,20,6,.769,6.95,-1.69,,12,4,,15,1,,5,5,,1936,1687,,71.2,104.5,.347,.375,.541,52.6,46.9,9.5,7.1,.512,15.7,28.1,.236
161,Louisville,19,13,6,.684,11.95,9.69,,8,5,,9,2,,4,4,,1303,1260,,66.1,103.1,.326,.297,.521,53.7,45.1,7.3,5.7,.484,15.0,32.1,.233
162,Loyola (IL),28,24,4,.857,14.82,0.13,,16,2,,13,0,,8,3,,2002,1555,,63.9,111.0,.315,.375,.598,54.1,60.1,10.8,7.0,.574,16.6,25.3,.227
163,Loyola Marymount,22,13,9,.591,4.57,3.07,,7,5,,8,3,,4,5,,1529,1496,,67.8,101.9,.413,.349,.557,56.3,53.3,6.9,7.7,.517,20.4,32.0,.300
164,Loyola (MD),15,5,10,.333,0.48,-1.45,,4,10,,3,4,,2,6,,1087,1058,,68.7,100.4,.371,.293,.526,52.2,48.0,10.3,9.5,.506,17.4,31.1,.226
165,Maine,9,2,7,.222,-14.75,-3.31,,2,6,,1,1,,1,6,,478,581,,65.4,81.2,.272,.449,.468,46.8,62.8,8.7,13.5,.451,22.4,23.3,.155
166,Manhattan,19,7,12,.368,-11.33,-7.33,,6,12,,4,6,,3,6,,1210,1286,,68.0,91.3,.358,.380,.472,49.4,54.0,10.9,10.4,.432,17.8,31.3,.240
167,Marist,20,12,8,.600,-7.77,-7.82,,10,8,,6,3,,6,5,,1270,1269,,66.7,94.0,.313,.412,.525,50.4,48.8,8.2,12.3,.496,19.4,22.3,.215
168,Marquette,26,13,13,.500,10.05,9.39,,8,11,,7,7,,6,6,,1834,1817,,68.3,102.7,.362,.372,.549,52.2,50.9,7.4,9.9,.510,18.2,29.6,.266
169,Marshall,21,15,6,.714,6.75,-1.16,,9,5,,9,3,,6,3,,1690,1524,,73.3,109.2,.251,.405,.574,48.7,53.5,10.6,13.1,.551,14.6,23.7,.183
170,Maryland-Baltimore County,20,14,6,.700,-0.24,-4.89,,10,4,,5,4,,9,2,,1391,1298,,68.7,101.2,.366,.371,.539,51.8,45.3,7.4,5.1,.503,16.7,25.8,.260
171,Maryland-Eastern Shore,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
172,Maryland,27,15,12,.556,15.47,12.74,,9,11,,11,6,,4,6,,1861,1748,,66.2,104.2,.338,.433,.563,50.0,55.1,7.6,10.6,.535,15.5,20.3,.237
173,Massachusetts-Lowell,22,11,11,.500,-4.72,-2.81,,7,8,,3,4,,6,5,,1525,1567,,69.3,100.1,.383,.338,.547,51.2,48.3,7.3,10.6,.520,18.7,27.1,.253
174,Massachusetts,15,8,7,.533,6.01,2.28,,6,4,,4,3,,3,3,,1151,1095,,72.3,103.5,.342,.440,.538,48.2,56.9,9.9,9.9,.500,14.5,24.3,.251
175,McNeese State,23,10,13,.435,-18.02,-10.90,,4,11,,7,5,,3,8,,1859,1651,,73.4,110.1,.284,.358,.584,53.5,61.7,9.9,5.2,.565,17.6,31.2,.195
176,Memphis,22,15,7,.682,12.63,2.85,,11,4,,10,1,,4,3,,1586,1371,,72.8,99.1,.335,.358,.524,54.9,61.7,12.3,14.8,.504,19.2,33.8,.207
177,Mercer,29,18,11,.621,1.87,-1.02,,8,9,,9,4,,6,6,,2225,2082,,70.1,107.6,.249,.387,.572,52.0,57.6,9.7,7.9,.551,16.1,26.2,.179
178,Merrimack,18,9,9,.500,-7.02,-6.63,,9,9,,6,3,,3,6,,1193,1200,,68.0,96.8,.310,.412,.538,45.3,49.8,11.7,10.1,.514,18.1,20.8,.206
179,Miami (FL),24,8,16,.333,3.35,8.64,,4,15,,7,8,,1,8,,1582,1709,,68.2,96.1,.325,.338,.503,50.2,47.2,9.7,11.1,.468,16.2,27.3,.225
180,Miami (OH),22,12,10,.545,-1.44,-2.01,,9,8,,7,4,,5,6,,1600,1573,,67.5,107.2,.261,.399,.545,49.9,46.8,6.6,7.4,.511,14.0,28.1,.201
181,Michigan State,26,15,11,.577,11.59,12.74,,9,11,,12,3,,3,8,,1807,1837,,69.1,100.6,.313,.343,.517,52.3,64.7,6.5,12.4,.480,16.0,30.6,.228
182,Michigan,22,19,3,.864,23.65,12.33,,14,3,,13,1,,6,2,,1684,1435,,68.1,111.8,.292,.338,.584,54.7,54.5,6.4,10.6,.553,15.1,29.4,.224
183,Middle Tennessee,22,5,17,.227,-10.34,-0.82,,3,13,,5,6,,0,9,,1370,1551,,70.2,88.7,.250,.397,.480,48.3,44.2,10.3,6.1,.452,18.9,26.0,.170
184,Milwaukee,22,10,12,.455,-6.67,-5.94,,7,10,,4,5,,6,6,,1662,1678,,71.1,103.9,.332,.359,.533,48.1,48.5,8.4,6.0,.495,13.5,24.1,.243
185,Minnesota,27,13,14,.481,12.06,12.83,,6,14,,13,4,,0,10,,1977,1998,,70.5,102.4,.371,.406,.504,47.7,56.8,8.8,11.2,.453,13.1,29.2,.280
186,Mississippi State,27,14,13,.519,9.96,6.21,,8,10,,9,6,,5,4,,1875,1774,,67.1,101.7,.337,.270,.526,54.8,50.2,9.5,13.6,.503,18.4,35.7,.216
187,Mississippi Valley State,23,2,21,.087,-38.51,-7.82,,2,13,,1,5,,1,16,,1300,2006,,73.8,76.6,.243,.485,.454,40.5,55.9,6.1,6.9,.437,22.5,17.4,.138
188,Mississippi,25,15,10,.600,11.97,6.37,,10,8,,10,4,,5,6,,1717,1577,,67.3,101.5,.346,.310,.523,53.3,49.5,11.7,11.6,.488,17.5,34.3,.240
189,Missouri-Kansas City,24,11,13,.458,-5.28,-3.03,,7,7,,8,3,,2,8,,1683,1502,,66.5,105.5,.293,.315,.572,50.3,55.3,11.9,7.1,.555,16.9,24.3,.193
190,Missouri State,24,17,7,.708,5.50,0.32,,12,6,,9,4,,7,2,,1762,1594,,68.7,106.9,.312,.387,.576,53.6,51.0,6.8,7.5,.546,16.6,24.8,.231
191,Missouri,23,15,8,.652,13.21,11.21,,8,8,,8,4,,6,4,,1704,1658,,70.2,104.3,.376,.378,.545,50.2,51.2,9.2,9.0,.511,16.2,28.9,.262
192,Monmouth,19,12,7,.632,-3.66,-6.50,,12,6,,7,2,,5,5,,1461,1407,,74.7,101.0,.383,.347,.530,49.1,54.1,10.6,9.9,.491,15.9,26.2,.270
193,Montana State,20,11,9,.550,-7.54,-6.32,,8,6,,5,3,,6,6,,1497,1450,,70.1,105.5,.390,.343,.560,50.4,45.8,8.0,6.1,.518,15.8,25.7,.292
194,Montana,25,13,12,.520,-3.84,-2.34,,7,9,,8,4,,5,8,,1782,1659,,67.7,103.7,.373,.271,.561,50.8,51.9,6.6,7.0,.513,17.3,25.2,.295
195,Morehead State,30,23,7,.767,-0.26,-4.37,,17,3,,12,1,,8,5,,2065,1902,,67.2,101.6,.359,.351,.551,54.8,51.8,6.5,14.7,.522,19.7,31.7,.245
196,Morgan State,19,12,7,.632,-6.38,-11.00,,7,5,,5,5,,7,2,,1533,1399,,75.8,106.4,.343,.386,.546,52.0,55.5,10.3,11.2,.507,17.2,34.6,.254
197,Mount St. Mary's,21,11,10,.524,-3.83,-5.07,,9,7,,6,3,,5,6,,1329,1303,,63.6,98.3,.285,.367,.516,53.7,51.3,7.1,10.2,.489,17.9,31.8,.192
198,Murray State,26,13,13,.500,-2.30,-7.63,,10,10,,9,4,,4,8,,1986,1739,,69.4,109.6,.254,.378,.582,53.0,57.5,9.7,10.4,.567,16.9,28.3,.171
199,Navy,18,15,3,.833,4.00,-0.50,,12,1,,8,2,,6,1,,1287,1206,,67.2,104.9,.330,.326,.534,52.6,47.6,12.0,7.4,.500,15.6,32.3,.234
200,Omaha,25,5,20,.200,-13.13,-2.49,,3,11,,1,5,,3,12,,1683,1949,,72.2,93.3,.292,.266,.495,47.5,37.8,7.8,7.8,.463,16.1,23.0,.201
201,Nebraska,26,7,19,.269,7.23,13.43,,3,16,,6,9,,1,10,,1823,1932,,73.0,95.5,.316,.422,.513,48.0,54.9,9.7,9.5,.490,17.2,23.6,.201
202,Nevada-Las Vegas,25,11,14,.440,-1.68,1.32,,8,10,,8,4,,3,7,,1742,1696,,66.7,104.4,.212,.407,.537,52.6,49.8,9.5,9.1,.516,16.0,30.2,.149
203,Nevada,24,15,9,.625,4.67,1.11,,8,7,,10,2,,2,7,,1757,1653,,69.9,104.7,.376,.397,.560,50.7,58.2,7.9,9.7,.518,16.2,23.8,.284
204,New Hampshire,19,10,9,.526,-7.15,-5.65,,9,6,,5,6,,5,3,,1278,1266,,67.7,98.7,.319,.360,.494,51.5,47.1,8.0,8.4,.460,13.9,28.0,.218
205,New Mexico State,17,10,7,.588,-2.77,-6.49,,7,6,,4,2,,5,5,,1211,1086,,66.4,107.2,.311,.474,.530,55.2,52.0,7.8,6.9,.495,15.3,35.7,.225
206,New Mexico,21,6,15,.286,-12.45,-1.66,,1,8,,0,0,,3,8,,1359,1493,,68.7,93.1,.318,.284,.473,52.6,50.9,8.1,12.2,.450,17.8,34.9,.189
207,New Orleans,23,9,14,.391,-10.88,-8.97,,8,7,,6,3,,2,10,,1740,1765,,74.4,100.6,.304,.283,.550,49.9,55.9,9.8,7.0,.518,19.6,29.9,.223
208,Niagara,18,8,10,.444,-6.74,-6.18,,7,9,,5,3,,3,7,,1162,1172,,65.6,98.5,.329,.369,.507,46.7,52.3,8.6,5.9,.471,13.5,22.6,.232
209,Nicholls State,23,17,6,.739,-4.61,-9.43,,14,2,,8,1,,7,5,,1827,1676,,74.4,105.6,.272,.373,.544,50.5,45.7,12.2,8.6,.523,15.2,28.9,.183
210,NJIT,19,7,12,.368,-8.89,-4.84,,6,10,,3,5,,4,6,,1256,1333,,68.1,95.8,.342,.358,.497,45.7,41.1,9.7,6.2,.459,14.4,24.0,.236
211,Norfolk State,21,14,7,.667,-6.57,-9.67,,8,4,,7,4,,6,3,,1572,1470,,72.2,103.1,.385,.352,.536,50.6,45.9,8.6,10.5,.500,15.8,28.4,.269
212,North Alabama,24,13,11,.542,-9.67,-5.92,,7,8,,8,4,,3,6,,1756,1666,,71.3,101.6,.291,.391,.529,52.7,43.6,8.2,9.7,.494,16.7,29.3,.217
213,North Carolina-Asheville,20,10,10,.500,-6.28,-6.88,,9,5,,6,4,,4,6,,1468,1456,,69.9,103.1,.302,.391,.558,47.2,46.4,9.8,10.6,.546,18.7,26.8,.183
214,North Carolina A&T,21,11,10,.524,-13.51,-7.30,,7,1,,5,4,,5,6,,1517,1523,,74.3,96.6,.368,.337,.507,46.4,53.2,11.7,7.2,.475,16.4,27.8,.242
215,North Carolina Central,13,5,8,.385,-13.49,-8.07,,3,5,,4,2,,0,6,,884,916,,69.8,96.5,.323,.354,.524,46.9,51.0,10.8,7.3,.491,18.5,24.9,.227
216,North Carolina-Greensboro,29,21,8,.724,3.94,-2.24,,13,5,,7,3,,10,3,,2135,1956,,70.5,103.9,.238,.389,.506,52.0,44.3,10.6,12.3,.482,13.1,31.9,.163
217,North Carolina State,22,13,9,.591,11.12,7.08,,9,8,,7,4,,5,5,,1616,1527,,68.7,106.3,.317,.325,.559,48.7,48.4,12.2,12.7,.532,16.4,29.4,.221
218,North Carolina-Wilmington,17,7,10,.412,-6.13,-5.76,,1,6,,3,4,,3,4,,1297,1253,,70.7,107.2,.368,.367,.546,47.5,46.6,8.5,8.6,.500,13.8,27.0,.282
219,North Carolina,25,16,9,.640,15.04,9.88,,10,6,,10,1,,3,7,,1871,1742,,72.0,104.0,.350,.279,.516,57.1,57.3,9.9,11.9,.485,17.3,40.5,.235
220,North Dakota State,26,15,11,.577,-0.93,-3.20,,11,5,,6,2,,5,7,,1811,1752,,66.4,104.4,.338,.367,.547,55.0,42.4,5.8,7.2,.506,16.5,28.7,.256
221,North Dakota,26,9,17,.346,-10.80,-3.80,,8,8,,5,3,,3,11,,1787,1969,,69.0,98.2,.346,.388,.528,47.6,49.1,7.4,5.3,.494,16.7,23.4,.241
222,North Florida,23,8,15,.348,-11.03,-4.18,,6,6,,5,3,,3,10,,1601,1725,,68.6,101.5,.254,.488,.557,46.9,51.9,6.5,7.7,.534,19.3,26.7,.181
223,North Texas,22,13,9,.591,7.36,-0.02,,9,5,,8,3,,5,6,,1563,1376,,66.8,106.4,.281,.377,.579,52.4,51.6,10.3,8.2,.554,18.2,28.0,.205
224,Northeastern,19,10,9,.526,-0.29,0.81,,8,2,,5,1,,4,7,,1277,1298,,68.4,97.6,.260,.439,.544,48.0,51.2,9.1,5.8,.515,18.0,20.2,.193
225,Northern Arizona,20,5,15,.250,-15.21,-2.46,,4,10,,1,7,,4,7,,1253,1508,,64.9,95.9,.304,.332,.501,45.7,46.7,8.3,4.8,.470,15.6,24.3,.207
226,Northern Colorado,20,10,10,.500,-8.04,-5.34,,6,8,,6,5,,4,5,,1378,1345,,69.1,99.1,.312,.433,.546,51.7,44.1,6.5,5.6,.524,18.1,23.5,.205
227,Northern Illinois,19,3,16,.158,-16.73,-1.63,,2,12,,2,7,,1,9,,1184,1471,,67.4,91.9,.239,.281,.465,49.3,44.7,8.5,10.1,.444,17.0,32.6,.147
228,Northern Iowa,25,10,15,.400,-1.45,2.73,,7,11,,6,5,,3,7,,1738,1779,,68.9,99.9,.259,.392,.530,51.6,50.9,9.3,7.7,.507,16.6,25.8,.177
229,Northern Kentucky,25,14,11,.560,-5.64,-5.76,,11,7,,9,4,,5,6,,1784,1781,,66.2,106.2,.278,.396,.534,50.8,44.8,9.6,4.6,.506,15.7,34.9,.196
230,Northwestern State,27,10,17,.370,-13.39,-4.54,,9,7,,6,4,,4,12,,1948,2145,,73.1,97.7,.283,.342,.516,47.1,48.2,9.1,7.5,.491,17.3,26.7,.190
231,Northwestern,23,9,14,.391,11.31,13.22,,6,13,,7,6,,2,8,,1640,1630,,69.3,101.7,.273,.408,.540,48.4,58.2,8.6,8.1,.511,15.1,21.7,.199
232,Notre Dame,24,10,14,.417,10.45,10.62,,7,11,,6,5,,4,8,,1751,1755,,67.3,108.4,.262,.434,.573,48.3,57.8,6.3,9.4,.543,14.1,21.3,.201
233,Oakland,29,12,17,.414,-7.88,-1.50,,10,10,,5,4,,6,11,,2171,2356,,70.5,102.7,.334,.412,.522,47.4,57.2,11.4,5.1,.488,15.3,30.2,.234
234,Ohio State,26,18,8,.692,19.96,13.04,,12,8,,10,4,,7,4,,1998,1818,,67.5,113.8,.377,.398,.574,52.2,48.5,6.8,9.3,.532,13.5,29.4,.290
235,Ohio,20,13,7,.650,3.93,-1.91,,9,5,,8,3,,4,4,,1604,1473,,72.0,111.4,.292,.394,.576,50.7,61.1,9.4,6.6,.554,14.7,27.9,.205
236,Oklahoma State,25,18,7,.720,13.62,9.22,,11,7,,10,3,,8,4,,1917,1807,,72.5,103.2,.366,.322,.554,52.3,47.7,9.9,10.7,.521,18.8,31.8,.260
237,Oklahoma,23,14,9,.609,14.34,8.30,,9,8,,10,3,,4,6,,1728,1589,,69.1,106.9,.291,.393,.537,49.8,49.6,10.5,8.9,.504,13.2,27.6,.216
238,Old Dominion,22,15,7,.682,-0.83,-0.88,,11,5,,9,1,,6,6,,1516,1495,,68.6,99.9,.322,.303,.524,51.6,48.7,11.0,11.4,.493,16.2,28.1,.222
239,Oral Roberts,25,15,10,.600,-0.68,-2.45,,10,5,,8,3,,5,7,,2051,1898,,73.7,111.2,.273,.466,.584,47.5,44.5,8.8,9.5,.547,14.2,24.0,.225
240,Oregon State,26,14,12,.538,6.25,7.09,,10,10,,10,6,,4,6,,1821,1770,,66.3,105.1,.333,.345,.533,50.3,60.1,9.2,10.4,.491,14.6,30.0,.253
241,Oregon,24,19,5,.792,14.01,6.76,,14,4,,11,2,,7,2,,1779,1605,,67.8,109.3,.266,.380,.565,51.1,48.5,10.9,10.6,.541,15.0,29.0,.189
242,Pacific,18,9,9,.500,1.66,4.25,,6,7,,6,2,,3,6,,1256,1272,,69.1,99.0,.276,.285,.508,51.7,48.6,9.1,10.3,.481,14.8,28.9,.188
243,Penn State,23,10,13,.435,14.94,15.54,,7,12,,7,5,,3,8,,1670,1684,,69.8,103.0,.272,.420,.512,51.1,51.5,11.3,6.7,.479,13.8,31.5,.199
244,Pennsylvania,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
245,Pepperdine,24,12,12,.500,3.78,5.23,,7,6,,7,5,,3,5,,1830,1790,,72.3,103.4,.326,.366,.556,49.1,58.6,8.5,7.7,.515,16.2,23.6,.254
246,Pittsburgh,21,10,11,.476,9.42,8.04,,6,10,,7,6,,3,5,,1493,1464,,68.5,103.8,.376,.329,.518,53.8,59.4,9.0,10.7,.484,15.4,34.6,.253
247,Portland State,21,9,12,.429,-6.56,-5.44,,6,8,,7,6,,2,6,,1446,1386,,70.4,97.2,.321,.381,.490,52.3,46.8,11.6,9.1,.458,16.3,32.5,.214
248,Portland,21,6,15,.286,-13.93,3.74,,0,11,,5,8,,1,6,,1459,1748,,73.0,94.6,.359,.380,.525,42.4,51.2,8.6,7.9,.476,17.4,18.7,.278
249,Prairie View,18,14,4,.778,-7.41,-14.52,,13,0,,8,0,,5,3,,1270,1142,,70.6,100.0,.268,.361,.529,49.3,62.7,14.3,12.9,.508,17.6,30.3,.179
250,Presbyterian,22,7,15,.318,-13.28,-8.32,,5,12,,5,6,,2,9,,1411,1476,,66.8,95.5,.347,.349,.505,51.2,47.1,10.4,6.9,.470,19.3,32.3,.238
251,Princeton,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
252,Providence,25,13,12,.520,10.65,10.21,,9,10,,8,3,,4,7,,1754,1743,,67.1,102.6,.308,.331,.520,49.8,53.4,8.2,7.9,.486,14.7,29.2,.219
253,Purdue,26,18,8,.692,17.83,12.49,,13,6,,11,1,,5,6,,1842,1703,,66.9,105.9,.317,.373,.546,54.8,55.9,7.8,10.8,.514,16.4,32.2,.229
254,Quinnipiac,21,9,12,.429,-7.36,-6.93,,7,10,,8,5,,1,5,,1437,1446,,72.1,93.3,.354,.413,.512,48.0,54.6,7.7,11.7,.475,17.7,21.2,.247
255,Radford,27,15,12,.556,-5.53,-5.93,,12,6,,9,5,,6,6,,1826,1745,,64.7,102.6,.396,.358,.546,55.9,46.7,9.2,5.3,.513,19.4,34.5,.270
256,Rhode Island,25,10,15,.400,6.22,5.86,,7,10,,6,3,,2,9,,1786,1777,,70.4,99.6,.389,.319,.525,52.3,47.7,9.1,12.2,.492,17.2,29.7,.260
257,Rice,25,13,12,.520,-4.30,-1.76,,6,10,,9,3,,3,9,,1875,1869,,73.1,102.6,.267,.486,.551,51.8,57.8,7.5,5.2,.524,18.2,28.0,.194
258,Richmond,21,13,8,.619,9.67,5.67,,6,5,,6,4,,5,3,,1574,1453,,70.1,106.9,.303,.364,.567,46.4,53.0,12.6,5.8,.538,13.8,19.8,.221
259,Rider,22,6,16,.273,-11.03,-4.94,,5,13,,1,8,,4,8,,1493,1627,,69.0,97.8,.287,.314,.516,49.6,50.4,7.2,6.1,.481,16.1,26.3,.211
260,Robert Morris,19,4,15,.211,-11.96,-4.30,,3,12,,3,6,,1,9,,1374,1494,,68.5,101.6,.256,.337,.524,47.5,57.7,9.2,8.1,.504,16.2,29.5,.168
261,Rutgers,24,14,10,.583,15.52,13.19,,10,10,,10,4,,4,6,,1690,1634,,68.6,102.2,.277,.329,.522,49.6,51.9,11.5,14.5,.505,14.3,27.7,.173
262,Sacramento State,19,8,11,.421,-8.27,-4.33,,5,9,,5,3,,3,8,,1360,1352,,66.1,106.2,.321,.321,.538,49.5,49.5,10.4,6.4,.511,13.6,27.8,.219
263,Sacred Heart,18,9,9,.500,-10.22,-5.49,,9,7,,4,3,,5,6,,1265,1350,,68.0,101.3,.336,.415,.522,48.9,55.9,7.0,5.1,.480,16.1,29.5,.249
264,Saint Francis (PA),22,6,16,.273,-8.40,-3.90,,5,13,,4,6,,2,10,,1515,1614,,69.7,97.7,.336,.329,.516,49.8,52.1,8.2,5.9,.478,17.5,28.8,.240
265,Saint Joseph's,20,5,15,.250,-3.42,7.03,,3,9,,3,3,,1,9,,1443,1652,,73.0,95.8,.267,.492,.517,44.9,56.7,8.0,4.5,.486,16.8,21.5,.194
266,Saint Louis,20,14,6,.700,13.10,2.75,,6,4,,12,1,,1,4,,1507,1300,,68.5,110.1,.305,.309,.546,56.8,63.1,10.3,9.7,.518,14.9,36.1,.214
267,Saint Mary's (CA),23,14,9,.609,7.66,5.88,,4,6,,9,3,,2,3,,1475,1434,,66.0,97.2,.277,.377,.510,52.0,44.8,9.4,8.0,.476,15.2,26.0,.202
268,Saint Peter's,23,13,10,.565,-4.23,-5.66,,10,8,,8,3,,4,7,,1458,1425,,68.9,92.0,.336,.345,.488,50.8,52.6,12.1,16.2,.449,18.8,30.2,.234
269,Sam Houston State,27,19,8,.704,-2.77,-4.47,,13,3,,12,1,,7,6,,2160,1899,,75.1,106.6,.321,.408,.552,49.4,54.6,11.4,8.7,.525,16.5,30.1,.222
270,Samford,19,6,13,.316,-8.40,-1.11,,2,9,,4,5,,2,7,,1460,1510,,75.0,100.4,.272,.397,.531,52.4,52.3,8.9,8.1,.506,18.3,30.4,.186
271,San Diego State,24,20,4,.833,15.11,1.98,,14,3,,13,2,,6,2,,1786,1442,,67.4,109.9,.340,.406,.562,53.5,54.8,12.2,10.0,.531,15.0,29.7,.245
272,San Diego,14,3,11,.214,-6.49,4.37,,2,7,,0,5,,3,5,,927,1079,,72.2,90.9,.256,.319,.488,46.2,52.6,9.2,8.5,.464,16.3,20.9,.166
273,San Francisco,25,11,14,.440,5.03,2.87,,4,9,,3,5,,4,6,,1786,1732,,69.5,102.8,.215,.502,.535,48.7,45.6,10.3,8.4,.513,14.9,24.9,.154
274,San Jose State,20,5,15,.250,-16.61,1.28,,2,12,,4,6,,0,8,,1301,1599,,72.2,90.1,.291,.398,.480,43.2,42.6,6.7,7.1,.453,15.8,20.6,.187
