,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,25,21,4,.840,5.18,-8.11,,13,2,,13,0,,5,4,,1924,1518,,72.6,83.6,.417,.346,.499,48.9,49.6,9.0,8.9,.454,25.3,27.3,.288
2,Air Force,24,5,19,.208,-12.26,0.32,,3,17,,3,8,,1,10,,1416,1718,,63.7,112.3,.334,.409,.591,59.5,55.9,9.4,8.2,.570,18.5,35.5,.229
3,Akron,21,14,7,.667,2.88,-1.33,,12,6,,9,1,,5,5,,1650,1512,,70.6,101.4,.264,.345,.518,47.8,46.2,7.8,6.7,.487,15.0,27.8,.192
4,Alabama A&M,15,6,9,.400,-18.99,-15.12,,4,9,,5,2,,1,7,,950,1008,,70.1,94.3,.374,.333,.480,50.2,53.7,11.3,6.9,.440,15.5,29.2,.251
5,Alabama-Birmingham,27,21,6,.778,6.12,-3.92,,13,5,,15,2,,6,4,,1972,1624,,69.3,86.8,.278,.360,.487,48.6,47.6,6.1,8.1,.456,21.2,25.7,.191
6,Alabama State,18,4,14,.222,-24.45,-17.12,,4,14,,3,6,,1,8,,1156,1288,,72.4,98.9,.369,.319,.526,50.9,49.8,10.7,11.4,.489,18.0,29.6,.257
7,Alabama,27,21,6,.778,19.55,10.26,,16,2,,12,1,,7,3,,2149,1898,,75.7,92.9,.331,.335,.493,48.9,44.1,10.8,13.9,.457,18.4,28.8,.226
8,Albany (NY),16,7,9,.438,-3.62,-4.31,,6,6,,4,5,,2,4,,1110,1099,,69.7,98.6,.293,.369,.540,52.1,48.8,8.1,11.0,.513,18.6,27.3,.202
9,Alcorn State,18,6,12,.333,-19.11,-10.33,,6,7,,4,3,,2,9,,1201,1359,,70.9,106.4,.513,.390,.587,51.9,58.3,9.5,10.4,.556,19.5,30.0,.347
10,American,10,4,6,.400,-2.96,1.54,,4,5,,2,2,,2,4,,691,736,,67.5,103.8,.384,.295,.533,51.8,43.7,12.0,7.8,.502,15.3,29.9,.257
11,Appalachian State,28,17,11,.607,-5.08,-4.99,,7,8,,9,4,,4,7,,1986,1806,,66.7,94.7,.242,.380,.509,49.4,50.2,8.1,13.1,.482,18.2,27.4,.172
12,Arizona State,23,10,13,.435,5.57,8.01,,7,10,,7,6,,2,6,,1721,1777,,72.5,105.4,.375,.365,.562,55.5,56.6,7.4,8.1,.521,18.1,30.6,.283
13,Arizona,26,17,9,.654,12.90,6.05,,11,9,,12,4,,5,5,,1961,1783,,68.4,99.3,.324,.367,.525,44.9,46.3,7.8,7.0,.492,16.0,24.1,.229
14,Little Rock,26,11,15,.423,-6.01,-5.05,,7,11,,7,4,,2,8,,1786,1782,,67.9,99.9,.272,.394,.535,47.7,53.8,9.6,8.3,.505,17.8,27.4,.197
15,Arkansas-Pine Bluff,24,4,20,.167,-22.57,-7.57,,3,12,,2,3,,2,17,,1487,1847,,69.7,109.4,.383,.334,.565,53.2,60.2,11.8,10.1,.539,15.9,31.8,.258
16,Arkansas State,24,11,13,.458,-7.66,-5.57,,7,8,,9,3,,1,9,,1741,1667,,69.3,99.7,.275,.335,.515,47.5,48.4,9.7,10.2,.481,15.7,27.6,.203
17,Arkansas,26,21,5,.808,18.54,5.89,,13,4,,16,1,,5,4,,2166,1837,,75.3,93.4,.292,.380,.505,47.2,47.1,8.6,8.9,.475,17.8,26.3,.199
18,Army,20,12,8,.600,5.05,4.94,,7,7,,5,4,,5,3,,1448,1385,,70.2,98.0,.241,.410,.532,50.1,51.1,10.2,9.8,.506,17.5,23.8,.174
19,Auburn,27,13,14,.481,10.49,9.74,,7,11,,8,5,,3,8,,2084,2064,,73.4,103.1,.316,.355,.525,48.0,45.5,11.8,11.5,.496,15.8,31.5,.217
20,Austin Peay,27,14,13,.519,-6.16,-7.72,,10,10,,8,5,,4,6,,2007,1890,,69.0,100.4,.327,.371,.561,47.9,45.4,11.2,6.7,.538,20.6,29.7,.221
21,Ball State,22,10,12,.455,-1.15,-0.47,,8,9,,7,4,,3,8,,1630,1645,,72.1,103.1,.351,.376,.522,50.6,47.5,10.0,7.3,.489,15.0,30.1,.241
22,Baylor,22,21,1,.955,24.92,5.19,,13,1,,11,0,,7,1,,1877,1443,,70.1,93.0,.308,.346,.518,46.6,51.6,8.5,9.9,.490,21.7,30.8,.207
23,Bellarmine,20,13,7,.650,-1.81,-6.09,,10,3,,6,4,,7,2,,1486,1307,,65.1,100.4,.276,.491,.564,48.6,56.3,7.9,7.2,.541,20.9,26.8,.194
24,Belmont,30,26,4,.867,4.05,-8.13,,18,2,,11,1,,10,2,,2439,2074,,71.9,95.8,.247,.364,.512,49.6,49.9,8.7,10.6,.488,17.9,27.5,.168
25,Binghamton,18,4,14,.222,-11.37,-4.48,,4,10,,1,9,,3,5,,1178,1302,,66.2,107.1,.313,.360,.546,49.8,46.6,10.0,7.9,.515,14.3,27.5,.225
26,Boise State,25,18,7,.720,10.18,0.77,,14,6,,11,1,,6,6,,1899,1636,,70.1,92.9,.269,.351,.513,47.4,45.3,7.3,6.4,.478,18.6,23.0,.199
27,Boston College,19,4,15,.211,3.15,9.88,,2,11,,3,5,,0,7,,1376,1504,,72.3,108.8,.297,.351,.574,52.7,49.0,9.0,10.5,.550,16.3,27.9,.212
