Quarter,Time,Down,ToGo,Location,Detail,MIN,CIN,EPB,EPA
2,9:08,2,18,CIN 30,Kirk Cousins pass incomplete short middle intended for Adam Thielen (defended by Vonn Bell). Penalty on Garrett Bradbury: Offensive Holding 10 yards (accepted) (no play),0,0,2.480,1.130
2,8:59,2,28,CIN 40,Ameer Abdullah right end for 4 yards (tackle by Jessie Bates),0,0,1.130,1.030
2,8:22,3,24,CIN 36,Kirk Cousins pass complete short right to K.J. Osborn for 25 yards (tackle by Jessie Bates),0,0,1.030,4.840
2,7:45,1,10,CIN 11,Dalvin Cook right guard for 1 yard (tackle by Sam Hubbard),0,0,4.840,4.320
2,7:08,2,9,CIN 10,Kirk Cousins sacked by Larry Ogunjobi for no gain. Penalty on Eli Apple: Defensive Holding 5 yards (accepted) (no play),0,0,4.320,6.060
2,6:42,1,5,CIN 5,Kirk Cousins pass complete short right to Adam Thielen for 5 yards touchdown,6,0,6.060,7.000
2,6:39,,,CIN 15,Greg Joseph kicks extra point good,7,0,0.000,0.000
2,6:39,,,MIN 35,Greg Joseph kicks off 65 yards touchback.,7,0,0.000,0.610
2,6:39,1,10,CIN 25,Joe Burrow pass complete short left to Joe Mixon for 12 yards (tackle by Eric Kendricks),7,0,0.610,1.400
2,6:06,1,10,CIN 37,Samaje Perine up the middle for 2 yards (tackle by Nick Vigil),7,0,1.400,1.130
2,5:25,2,8,CIN 39,Samaje Perine right end for -1 yards (tackle by Bashaud Breeland),7,0,1.130,0.300
2,4:44,3,9,CIN 38,Joe Burrow pass complete deep left to Ja'Marr Chase for 17 yards (tackle by Xavier Woods),7,0,0.300,2.590
2,4:03,1,10,MIN 45,Joe Burrow sacked by Harrison Smith for -10 yards,7,0,2.590,0.690
2,3:19,2,20,CIN 45,Samaje Perine up the middle for 13 yards (tackle by Eric Kendricks and Xavier Woods),7,0,0.690,1.750
2,2:40,3,7,MIN 42,Joe Burrow pass complete short right to Ja'Marr Chase for 13 yards (tackle by Bashaud Breeland),7,0,1.750,3.640
2,2:02,1,10,MIN 29,Joe Burrow pass incomplete deep right intended for Tee Higgins. Penalty on Michael Pierce: Defensive Offside 5 yards (declined) . Penalty on Bashaud Breeland: Defensive Pass Interference 26 yards (accepted) (no play),7,0,3.640,6.510
2,1:56,1,3,MIN 3,Joe Mixon right end for 1 yard (tackle by Harrison Smith),7,0,6.510,5.720
2,1:52,2,2,MIN 2,Joe Burrow pass complete short middle to Tee Higgins for 2 yards touchdown,7,6,5.720,7.000
2,1:47,,,MIN 15,Evan McPherson kicks extra point good,7,7,0.000,0.000
2,1:47,,,CIN 35,Evan McPherson kicks off 65 yards touchback.,7,7,0.000,0.610
2,1:47,1,10,MIN 25,Kirk Cousins pass incomplete short left intended for Dalvin Cook,7,7,0.610,0.060
2,1:44,2,10,MIN 25,Kirk Cousins pass complete short middle to Tyler Conklin for no gain (tackle by Ricardo Allen). Penalty on Rashod Hill: Offensive Holding 10 yards (accepted) (no play),7,7,0.060,-1.430
