,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
124,Idaho State,30,11,19,.367,-13.17,-4.81,,7,13,,6,7,,5,11,,2198,2369,,68.9,114.6,.300,.377,.580,51.4,53.2,7.5,7.9,.552,13.2,28.6,.222
125,Idaho,32,5,27,.156,-18.74,-6.19,,2,18,,4,11,,1,13,,2174,2460,,67.9,112.7,.316,.434,.551,52.3,57.9,9.3,8.2,.523,12.0,30.4,.222
126,Illinois-Chicago,32,16,16,.500,-3.15,-1.99,,10,8,,12,4,,4,12,,2391,2385,,71.5,103.0,.414,.378,.528,51.6,54.1,8.9,9.2,.483,15.5,30.1,.298
127,Illinois State,33,17,16,.515,-2.06,0.25,,9,9,,12,4,,2,10,,2257,2314,,67.9,102.5,.327,.407,.542,50.5,56.1,8.6,7.4,.510,16.0,25.5,.232
128,Illinois,33,12,21,.364,8.95,11.53,,7,13,,9,6,,1,9,,2398,2483,,71.0,104.8,.424,.354,.564,52.4,53.2,8.1,9.7,.522,19.0,31.8,.312
129,Incarnate Word,31,6,25,.194,-18.93,-5.11,,1,17,,5,9,,0,14,,2044,2355,,66.6,112.7,.369,.397,.596,53.3,53.3,11.4,8.7,.564,17.4,32.1,.272
130,Indiana State,31,15,16,.484,-2.72,0.62,,7,11,,9,5,,4,9,,2146,2218,,69.2,102.5,.372,.374,.552,51.6,52.6,8.4,8.3,.514,17.3,26.5,.269
131,Indiana,35,19,16,.543,13.82,10.10,,8,12,,15,6,,3,9,,2504,2374,,68.3,97.9,.292,.382,.507,49.2,54.6,8.4,10.1,.482,15.8,28.1,.190
132,Iona NCAA,33,17,16,.515,-4.78,-5.50,,12,6,,8,3,,5,9,,2532,2508,,71.4,106.4,.285,.424,.547,52.0,55.4,7.6,11.2,.523,16.0,29.8,.195
133,Iowa State NCAA,35,23,12,.657,18.07,9.30,,9,9,,12,4,,5,6,,2692,2385,,68.2,99.9,.236,.392,.511,49.7,49.9,7.7,7.4,.484,15.9,30.1,.169
134,Iowa NCAA,35,23,12,.657,14.27,9.84,,10,10,,14,4,,4,6,,2740,2585,,70.2,104.1,.288,.412,.540,49.4,57.8,9.3,7.9,.515,16.0,29.0,.199
135,Purdue-Fort Wayne,33,18,15,.545,-3.47,-3.60,,9,7,,11,5,,6,9,,2728,2556,,73.4,104.7,.239,.387,.548,51.1,46.4,7.6,8.5,.526,15.8,27.8,.169
136,IUPUI,33,16,17,.485,-2.72,-3.04,,8,10,,11,4,,3,13,,2507,2429,,71.6,102.9,.318,.394,.548,46.8,52.3,9.8,10.9,.520,17.2,27.3,.223
137,Jackson State,32,13,19,.406,-14.60,-9.33,,10,8,,9,4,,3,14,,1974,2107,,67.4,97.3,.439,.369,.528,49.6,54.6,11.0,9.8,.485,18.3,25.9,.306
138,Jacksonville State,33,24,9,.727,1.59,-5.47,,15,3,,11,1,,10,7,,2574,2283,,71.3,95.3,.295,.414,.519,45.7,48.9,9.1,5.9,.483,18.3,25.1,.216
139,Jacksonville,32,12,20,.375,-8.27,-4.74,,5,11,,5,8,,6,11,,2385,2402,,73.3,102.0,.286,.348,.540,49.5,45.6,9.8,8.7,.514,16.3,26.9,.200
140,James Madison,33,14,19,.424,-8.52,-4.07,,6,12,,8,6,,4,11,,2322,2409,,66.0,108.2,.335,.350,.553,49.4,53.3,8.5,8.8,.522,14.7,29.2,.239
141,Kansas State NCAA,34,25,9,.735,15.39,9.18,,14,4,,13,2,,7,5,,2236,2025,,64.9,91.7,.307,.429,.511,49.1,54.5,9.6,8.2,.482,20.3,25.6,.207
142,Kansas NCAA,36,26,10,.722,18.35,12.79,,12,6,,16,0,,3,8,,2725,2525,,70.3,98.7,.278,.418,.507,47.9,52.7,9.3,8.9,.478,15.4,27.8,.191
143,Kennesaw State,32,6,26,.188,-16.17,-1.04,,3,13,,6,8,,0,15,,2030,2455,,70.9,107.8,.281,.373,.557,51.3,56.2,10.1,8.2,.532,15.1,29.4,.197
144,Kent State,33,22,11,.667,1.26,0.61,,11,7,,14,3,,8,7,,2481,2417,,69.4,104.7,.346,.379,.552,49.0,51.3,8.3,8.4,.523,17.1,29.7,.239
145,Kentucky NCAA,37,30,7,.811,21.43,10.29,,15,3,,17,1,,8,2,,2806,2394,,67.3,95.5,.268,.386,.498,43.1,47.9,8.6,7.8,.466,15.7,25.2,.189
146,La Salle,31,10,21,.323,-3.61,1.29,,8,10,,5,9,,3,8,,2091,2243,,69.5,104.1,.413,.332,.552,51.1,53.0,9.2,9.7,.513,17.4,28.9,.296
147,Lafayette,30,10,20,.333,-11.17,-4.93,,7,11,,4,11,,6,9,,2209,2349,,70.4,109.4,.307,.356,.566,51.7,44.6,8.8,6.5,.540,13.9,26.3,.218
148,Lamar,33,20,13,.606,-5.94,-7.22,,12,6,,13,2,,6,10,,2597,2322,,71.3,97.2,.339,.378,.537,45.1,60.1,8.8,9.0,.504,19.5,26.4,.239
149,Lehigh,31,20,11,.645,-2.34,-4.46,,12,6,,11,3,,9,8,,2479,2413,,72.5,106.5,.305,.425,.536,49.5,57.1,9.6,10.3,.502,13.6,27.4,.223
150,Liberty NCAA,36,29,7,.806,5.27,-3.88,,14,2,,16,1,,11,3,,2654,2209,,65.4,93.9,.310,.376,.508,48.5,45.9,8.2,8.8,.478,18.2,24.9,.210
151,Lipscomb,37,29,8,.784,9.21,-1.20,,14,2,,14,3,,14,4,,3076,2597,,74.9,93.7,.276,.393,.516,47.1,49.5,8.7,10.3,.480,18.1,22.4,.207
152,Cal State Long Beach,34,15,19,.441,-4.57,-0.44,,8,8,,9,5,,4,12,,2545,2584,,73.3,102.5,.300,.355,.530,51.3,48.4,10.4,8.4,.503,16.7,31.8,.206
153,Long Island University,32,16,16,.500,-8.99,-9.08,,9,9,,8,5,,7,9,,2373,2337,,72.9,99.8,.350,.326,.515,49.9,48.8,9.4,11.2,.477,16.1,28.9,.248
154,Longwood,34,16,18,.471,-8.43,-6.62,,5,11,,10,5,,5,12,,2407,2408,,68.9,101.6,.324,.492,.540,49.3,55.8,8.3,11.8,.500,16.1,24.2,.245
155,Louisiana,32,19,13,.594,-2.07,-1.51,,10,8,,10,4,,7,7,,2612,2575,,74.8,106.7,.358,.356,.564,51.5,45.5,8.4,7.9,.528,17.5,31.8,.263
156,Louisiana-Monroe,35,19,16,.543,0.81,-1.96,,9,9,,14,3,,4,12,,2773,2637,,69.2,107.0,.278,.391,.550,50.6,49.0,7.9,11.1,.524,15.3,29.4,.199
157,Louisiana State NCAA,35,28,7,.800,16.50,9.16,,16,2,,15,2,,9,1,,2815,2558,,70.6,100.9,.331,.400,.530,47.0,45.0,8.9,7.9,.499,17.4,30.2,.229
158,Louisiana Tech,33,20,13,.606,0.95,-2.31,,9,9,,15,1,,4,10,,2386,2235,,68.0,98.5,.295,.392,.521,49.4,56.3,8.2,9.7,.492,17.0,27.8,.203
159,Louisville NCAA,34,20,14,.588,17.28,11.04,,10,8,,14,4,,5,6,,2536,2324,,68.4,98.4,.320,.372,.503,47.6,47.9,8.3,10.6,.468,14.1,25.7,.223
160,Loyola (IL),34,20,14,.588,3.99,-0.16,,12,6,,13,4,,5,7,,2231,2066,,63.7,95.4,.234,.391,.532,49.5,51.7,9.0,12.5,.508,18.7,21.3,.166
161,Loyola Marymount,34,22,12,.647,2.93,0.90,,8,8,,12,4,,8,7,,2278,2125,,65.2,95.9,.358,.428,.533,47.8,65.7,8.8,9.5,.487,19.7,25.3,.273
162,Loyola (MD),32,11,21,.344,-9.13,-4.60,,7,11,,7,5,,3,16,,2332,2477,,70.4,108.7,.323,.355,.590,51.7,56.0,10.2,11.5,.556,18.2,29.2,.249
163,Maine,32,5,27,.156,-15.11,-4.21,,3,13,,3,9,,2,18,,1988,2271,,64.6,107.3,.385,.477,.578,51.2,64.7,10.9,7.1,.547,17.5,27.2,.273
164,Manhattan,32,11,21,.344,-12.89,-7.32,,8,10,,4,9,,4,11,,1833,2011,,62.8,99.8,.456,.418,.551,51.0,59.7,10.0,12.0,.509,20.6,29.1,.323
165,Marist,31,12,19,.387,-9.49,-7.53,,7,11,,4,7,,6,11,,2086,2147,,65.6,104.8,.359,.478,.560,51.2,56.2,8.5,10.2,.530,17.1,26.3,.252
166,Marquette NCAA,34,24,10,.706,14.78,6.96,,12,6,,16,3,,6,4,,2629,2363,,70.7,97.2,.359,.356,.500,47.0,51.0,9.7,8.9,.463,14.5,26.2,.244
167,Marshall,37,23,14,.622,-0.64,-0.61,,11,7,,16,3,,6,10,,2978,2979,,76.3,104.5,.324,.353,.552,55.2,44.4,8.4,7.3,.520,18.0,31.5,.232
168,Maryland-Baltimore County,34,21,13,.618,-5.85,-5.85,,11,5,,13,4,,6,8,,2296,2177,,65.8,94.5,.319,.493,.533,49.7,53.9,8.4,8.1,.500,20.7,23.9,.228
169,Maryland-Eastern Shore,32,7,25,.219,-24.21,-7.91,,5,11,,5,7,,2,17,,1833,2291,,65.5,108.9,.369,.444,.565,54.6,59.7,9.8,9.3,.538,16.7,31.2,.252
170,Maryland NCAA,34,23,11,.676,16.01,10.09,,13,7,,15,3,,6,5,,2429,2228,,66.6,98.4,.266,.394,.493,44.0,51.9,10.4,9.8,.459,12.3,24.7,.193
171,Massachusetts-Lowell,32,15,17,.469,-8.28,-6.95,,7,9,,8,5,,5,12,,2456,2420,,71.9,104.4,.325,.356,.539,50.2,46.8,9.9,9.8,.507,15.7,29.3,.230
172,Massachusetts,32,11,21,.344,-3.02,-0.18,,4,14,,9,8,,1,11,,2263,2354,,68.4,106.7,.414,.348,.555,48.0,59.9,9.7,10.4,.512,14.9,26.9,.303
173,McNeese State,31,9,22,.290,-14.41,-6.15,,5,13,,7,8,,2,14,,2149,2303,,68.4,108.2,.268,.400,.555,49.4,56.0,10.2,7.7,.528,15.5,29.9,.196
174,Memphis,36,22,14,.611,10.70,5.09,,11,7,,17,2,,3,8,,2882,2680,,75.5,98.0,.375,.394,.524,48.8,58.1,10.3,11.4,.486,18.6,30.5,.263
175,Mercer,31,11,20,.355,-2.86,-0.24,,6,12,,9,6,,2,12,,2248,2246,,69.1,104.4,.334,.470,.547,50.8,54.6,9.5,11.1,.521,17.7,31.5,.225
176,Miami (FL),32,14,18,.438,9.39,8.70,,5,13,,11,5,,0,10,,2297,2275,,68.5,103.3,.227,.394,.544,52.3,53.4,8.3,8.7,.520,17.3,29.7,.165
177,Miami (OH),32,15,17,.469,0.77,2.31,,7,11,,10,5,,4,10,,2267,2233,,68.8,101.0,.333,.411,.532,48.0,49.2,8.9,10.1,.501,15.5,24.3,.230
178,Michigan State NCAA,39,32,7,.821,24.93,12.34,,16,4,,15,1,,8,4,,3025,2534,,68.1,94.8,.275,.372,.471,43.9,51.9,9.1,8.4,.439,12.9,25.7,.187
179,Michigan NCAA,37,30,7,.811,21.82,10.55,,15,5,,17,1,,7,4,,2575,2158,,65.4,89.2,.241,.301,.467,49.3,45.8,6.1,9.6,.441,15.8,24.1,.160
180,Middle Tennessee,32,11,21,.344,-6.09,1.44,,8,10,,9,5,,2,11,,2141,2313,,70.3,102.9,.332,.404,.534,47.7,52.5,10.9,8.6,.501,15.4,26.9,.235
181,Milwaukee,31,9,22,.290,-8.90,-2.50,,4,14,,6,8,,3,12,,2146,2315,,68.9,107.9,.352,.451,.547,50.7,53.5,8.3,9.5,.515,13.4,27.5,.247
182,Minnesota NCAA,36,22,14,.611,12.52,11.27,,9,11,,14,3,,2,9,,2543,2498,,67.9,101.8,.282,.339,.523,48.8,50.8,8.5,10.9,.495,14.7,27.9,.195
183,Mississippi State NCAA,34,23,11,.676,15.96,9.07,,10,8,,14,3,,5,5,,2628,2394,,68.6,102.0,.321,.366,.536,47.2,50.6,8.5,10.1,.503,17.0,29.4,.230
184,Mississippi Valley State,32,6,26,.188,-22.47,-6.99,,4,14,,6,6,,0,20,,2058,2498,,70.6,110.1,.316,.377,.561,52.4,54.0,8.4,9.6,.536,15.0,30.8,.219
185,Mississippi NCAA,33,20,13,.606,12.32,8.13,,10,8,,11,5,,6,5,,2485,2347,,69.2,102.4,.335,.345,.542,48.9,55.2,8.9,9.8,.510,17.9,29.2,.236
186,Missouri-Kansas City,32,11,21,.344,-6.61,-1.55,,6,10,,8,5,,3,13,,2220,2341,,68.6,105.8,.366,.363,.562,54.6,51.4,7.8,9.8,.531,18.3,31.6,.258
187,Missouri State,32,16,16,.500,-1.20,-1.03,,10,8,,11,4,,5,9,,2206,2157,,66.5,100.9,.353,.368,.558,50.3,51.9,8.6,9.0,.525,19.2,25.3,.253
188,Missouri,32,15,17,.469,8.60,9.16,,5,13,,9,7,,2,8,,2150,2168,,66.1,101.7,.380,.407,.534,47.2,50.1,9.1,11.3,.494,16.0,25.7,.273
189,Monmouth,35,14,21,.400,-10.66,-4.83,,10,8,,6,6,,5,11,,2286,2490,,68.5,102.5,.432,.514,.550,50.0,58.8,10.0,9.7,.511,18.5,28.4,.302
190,Montana State,32,15,17,.469,-7.91,-5.81,,11,9,,9,4,,4,12,,2502,2552,,71.6,111.3,.289,.445,.588,50.4,53.4,8.2,7.0,.567,15.4,25.7,.203
191,Montana NCAA,35,26,9,.743,1.50,-5.05,,16,4,,12,2,,9,5,,2665,2397,,68.6,99.5,.360,.365,.537,48.2,45.3,8.1,8.0,.494,17.5,24.5,.270
192,Morehead State,33,13,20,.394,-7.73,-1.76,,8,10,,7,7,,4,11,,2431,2543,,70.6,108.0,.280,.374,.553,51.2,50.1,8.3,12.8,.523,15.6,30.6,.208
193,Morgan State,30,9,21,.300,-15.98,-10.70,,4,12,,6,7,,2,13,,2161,2304,,73.9,103.1,.397,.372,.562,52.8,53.4,7.7,11.5,.533,20.5,34.3,.268
194,Mount St. Mary's,31,9,22,.290,-14.57,-6.02,,6,12,,4,9,,5,13,,2092,2286,,69.5,106.1,.335,.389,.547,52.6,54.6,8.9,9.5,.513,15.8,30.8,.241
195,Murray State NCAA,33,28,5,.848,8.96,-3.11,,16,2,,15,1,,10,3,,2727,2255,,71.8,95.1,.274,.354,.495,47.9,45.2,8.4,9.2,.461,16.9,29.6,.197
196,Navy,31,12,19,.387,-10.09,-4.00,,8,10,,8,6,,4,13,,2061,2250,,68.3,106.2,.297,.429,.553,47.6,62.0,10.8,11.9,.521,14.8,25.3,.220
197,Omaha,32,21,11,.656,-2.32,-3.39,,13,3,,10,2,,9,8,,2523,2454,,70.0,108.7,.263,.440,.575,50.8,48.5,6.6,8.6,.549,15.4,25.1,.196
198,Nebraska,36,19,17,.528,14.85,11.31,,6,14,,13,5,,2,10,,2586,2421,,67.2,99.7,.295,.343,.511,51.5,48.6,7.1,9.9,.478,16.5,31.5,.209
199,Nevada-Las Vegas,31,17,14,.548,1.58,0.48,,11,7,,10,6,,6,5,,2276,2242,,69.0,103.9,.316,.341,.539,46.7,49.4,9.1,6.9,.510,15.4,27.3,.219
200,Nevada NCAA,34,29,5,.853,16.00,2.68,,15,3,,15,0,,9,3,,2723,2270,,70.7,94.4,.280,.399,.505,48.2,51.7,6.6,7.4,.477,17.0,24.7,.189
201,New Hampshire,29,5,24,.172,-18.66,-6.03,,3,13,,4,10,,1,14,,1742,1990,,67.1,102.3,.384,.383,.542,52.3,41.9,8.0,8.7,.507,15.6,23.0,.268
202,New Mexico State NCAA,35,30,5,.857,10.05,-2.38,,15,1,,16,1,,10,1,,2734,2259,,68.3,94.1,.325,.401,.520,42.8,39.2,7.2,5.9,.486,17.5,20.8,.228
203,New Mexico,32,14,18,.438,-0.55,1.61,,7,11,,9,7,,4,9,,2443,2454,,74.5,103.0,.368,.337,.543,49.8,56.3,9.4,9.7,.511,16.2,27.3,.252
204,New Orleans,33,19,14,.576,-8.88,-6.47,,12,6,,12,4,,5,9,,2384,2325,,71.1,97.3,.376,.339,.530,50.3,54.4,11.0,10.1,.492,20.8,32.8,.265
205,Niagara,32,13,19,.406,-11.33,-7.77,,6,12,,8,8,,5,10,,2318,2432,,70.4,107.6,.253,.373,.558,50.2,50.8,8.0,8.6,.534,14.3,25.6,.181
206,Nicholls State,31,14,17,.452,-11.87,-6.98,,7,11,,9,4,,3,13,,2260,2302,,71.2,103.5,.339,.340,.530,54.3,55.2,6.7,9.8,.496,16.4,32.6,.238
207,NJIT,35,22,13,.629,-3.63,-4.74,,8,8,,11,5,,11,8,,2472,2401,,69.2,98.5,.294,.376,.516,51.4,50.3,8.0,10.0,.489,16.0,26.0,.198
208,Norfolk State,36,22,14,.611,-8.04,-8.74,,14,2,,11,2,,9,8,,2652,2503,,71.8,95.6,.412,.418,.515,49.8,57.0,6.7,9.0,.477,18.8,28.1,.276
209,North Alabama,32,10,22,.313,-11.00,-1.69,,7,9,,8,4,,2,18,,2145,2358,,71.1,103.3,.386,.370,.552,50.6,51.6,9.0,13.2,.517,16.1,25.0,.271
210,North Carolina-Asheville,31,4,27,.129,-19.81,-2.35,,2,14,,3,10,,1,15,,1857,2313,,64.2,115.8,.348,.437,.583,53.5,66.2,10.6,11.1,.556,15.6,35.3,.248
211,North Carolina A&T,32,19,13,.594,-11.24,-9.88,,13,3,,11,2,,7,10,,2241,2209,,67.9,100.9,.312,.370,.519,52.2,54.9,8.7,9.6,.485,17.6,33.6,.220
212,North Carolina Central NCAA,34,18,16,.529,-11.53,-11.24,,10,6,,10,2,,4,12,,2429,2266,,68.5,97.0,.305,.352,.518,45.2,53.2,8.5,10.0,.491,17.1,26.2,.205
213,North Carolina-Greensboro,36,29,7,.806,4.08,-0.90,,15,3,,15,2,,11,4,,2738,2443,,69.9,96.8,.317,.387,.536,49.3,47.2,8.2,7.7,.505,20.6,29.0,.224
214,North Carolina State,36,24,12,.667,14.94,6.22,,9,9,,17,5,,4,6,,2882,2568,,71.8,98.7,.388,.343,.532,47.0,52.1,8.6,10.1,.494,18.8,28.6,.273
215,North Carolina-Wilmington,33,10,23,.303,-8.10,-2.04,,5,13,,5,9,,2,12,,2515,2670,,70.2,113.9,.320,.430,.584,47.6,48.5,8.8,6.1,.556,13.0,26.0,.234
216,North Carolina NCAA,36,29,7,.806,23.94,11.35,,16,2,,14,2,,11,1,,3089,2636,,75.9,96.1,.284,.438,.517,43.4,54.2,8.8,11.0,.489,16.4,22.4,.193
217,North Dakota State NCAA,35,19,16,.543,-4.01,-2.07,,9,7,,10,3,,4,9,,2556,2541,,66.8,107.9,.259,.353,.554,51.3,45.2,7.7,9.4,.525,13.0,24.5,.194
218,North Dakota,30,12,18,.400,-8.78,-3.55,,6,10,,8,6,,4,11,,2220,2196,,71.5,102.4,.274,.336,.545,51.1,43.2,9.8,5.8,.509,15.9,24.7,.213
219,North Florida,33,16,17,.485,-3.47,-0.70,,9,7,,10,3,,5,13,,2485,2531,,74.0,103.2,.291,.292,.515,50.2,55.9,12.4,9.4,.484,14.8,32.3,.203
220,North Texas,33,21,12,.636,-0.25,-3.48,,8,10,,12,4,,6,7,,2302,2077,,67.5,92.9,.370,.370,.500,46.8,49.0,9.6,12.3,.465,17.8,25.2,.247
221,Northeastern NCAA,34,23,11,.676,3.95,-0.70,,14,4,,11,2,,8,6,,2564,2406,,66.3,104.8,.278,.359,.550,50.3,45.3,8.1,7.4,.521,14.9,24.5,.204
222,Northern Arizona,31,10,21,.323,-10.75,-6.23,,8,12,,5,7,,5,13,,2262,2402,,70.0,109.8,.297,.436,.573,51.3,54.0,7.8,8.3,.550,14.8,26.4,.208
223,Northern Colorado,32,21,11,.656,-3.92,-6.76,,15,5,,10,3,,11,5,,2450,2229,,68.7,100.2,.273,.311,.536,47.9,44.4,9.2,10.0,.507,16.4,24.5,.196
224,Northern Illinois,34,17,17,.500,2.58,1.11,,8,10,,10,6,,5,9,,2506,2413,,68.4,102.6,.383,.449,.544,49.1,56.0,7.3,7.3,.513,16.4,25.6,.259
225,Northern Iowa,34,16,18,.471,-1.54,0.62,,9,9,,9,5,,3,9,,2215,2230,,65.8,99.6,.317,.383,.538,50.0,48.9,9.9,7.8,.504,16.6,22.2,.228
226,Northern Kentucky NCAA,35,26,9,.743,4.67,-2.39,,13,5,,17,1,,7,7,,2747,2410,,70.0,97.7,.348,.392,.520,46.8,51.3,8.4,11.1,.481,16.8,25.3,.251
227,Northwestern State,31,11,20,.355,-17.06,-5.99,,6,12,,8,7,,3,13,,2051,2280,,70.7,103.2,.357,.374,.534,52.2,56.3,11.0,10.3,.501,17.1,33.4,.245
228,Northwestern,32,13,19,.406,9.97,9.16,,4,16,,10,8,,1,9,,2108,2082,,66.8,96.6,.340,.320,.506,51.6,56.5,8.5,9.6,.467,15.8,26.3,.243
229,Notre Dame,33,14,19,.424,7.97,8.28,,3,15,,11,8,,1,9,,2266,2276,,66.4,103.8,.218,.367,.514,51.6,49.1,7.4,8.6,.490,14.0,31.1,.155
230,Oakland,33,16,17,.485,-2.27,-1.48,,11,7,,10,6,,6,10,,2534,2515,,69.9,108.6,.275,.368,.554,52.6,55.7,9.2,9.3,.526,15.0,31.7,.201
231,Ohio State NCAA,35,20,15,.571,13.89,11.00,,8,12,,12,6,,4,7,,2419,2318,,66.7,98.9,.318,.374,.522,49.1,50.1,9.3,9.2,.483,16.1,25.8,.235
232,Ohio,31,14,17,.452,-1.84,3.16,,6,12,,11,5,,3,10,,2174,2288,,71.5,102.0,.307,.391,.536,49.2,51.4,10.6,6.1,.506,16.3,26.8,.217
233,Oklahoma State,32,12,20,.375,8.09,11.53,,5,13,,8,7,,2,10,,2178,2288,,67.1,106.1,.315,.423,.540,51.4,55.1,8.7,10.4,.503,15.2,29.4,.235
234,Oklahoma NCAA,34,20,14,.588,15.30,12.21,,7,11,,11,4,,5,7,,2423,2318,,69.3,98.0,.231,.413,.498,49.8,49.8,9.5,9.5,.475,14.9,27.8,.156
235,Old Dominion NCAA,35,26,9,.743,3.74,-1.18,,13,5,,14,2,,8,4,,2300,2128,,65.6,92.7,.324,.405,.489,46.8,52.9,7.4,6.8,.456,16.3,24.4,.216
236,Oral Roberts,32,11,21,.344,-9.34,-1.91,,7,9,,7,6,,3,13,,2314,2483,,69.1,111.8,.327,.397,.570,47.9,56.6,9.8,7.9,.536,13.0,26.0,.245
237,Oregon State,31,18,13,.581,7.84,4.29,,10,8,,10,5,,6,5,,2275,2165,,67.2,103.0,.335,.374,.529,48.3,52.2,8.9,7.7,.502,15.3,28.9,.224
238,Oregon NCAA,38,25,13,.658,13.95,6.13,,10,8,,13,4,,5,7,,2661,2364,,65.5,94.4,.339,.454,.502,48.9,55.1,7.9,8.0,.464,18.2,28.2,.238
239,Pacific,32,14,18,.438,-2.46,1.97,,4,12,,9,7,,5,10,,2138,2241,,66.7,104.2,.413,.434,.574,48.9,49.0,8.8,11.0,.542,17.8,22.8,.290
240,Penn State,32,14,18,.438,12.55,11.51,,7,13,,9,6,,3,9,,2229,2196,,68.2,99.5,.341,.333,.535,48.4,49.9,9.8,9.2,.499,17.4,25.9,.245
241,Pennsylvania,31,19,12,.613,2.04,-0.76,,7,7,,10,4,,8,5,,2250,2117,,69.1,96.8,.256,.328,.513,50.2,40.5,9.1,8.6,.487,16.8,25.7,.175
242,Pepperdine,34,16,18,.471,0.90,0.63,,6,10,,9,5,,2,11,,2572,2529,,70.7,104.5,.357,.397,.563,52.6,55.4,8.7,9.6,.534,18.4,29.3,.251
243,Pittsburgh,33,14,19,.424,7.88,6.69,,3,15,,11,7,,0,11,,2306,2267,,68.6,99.4,.329,.406,.515,50.0,58.8,9.5,15.1,.477,18.0,32.7,.236
244,Portland State,32,16,16,.500,-8.95,-5.78,,11,9,,12,4,,3,10,,2475,2404,,72.2,103.3,.435,.360,.563,45.3,54.5,8.2,8.7,.525,18.3,26.6,.308
245,Portland,32,7,25,.219,-10.80,0.51,,0,16,,6,11,,1,12,,2078,2389,,68.4,108.2,.337,.407,.552,53.7,61.0,9.3,10.4,.520,14.2,28.9,.241
246,Prairie View NCAA,35,22,13,.629,-7.29,-9.17,,17,1,,11,0,,9,12,,2627,2547,,72.5,100.4,.464,.360,.553,53.3,51.6,6.9,11.2,.514,21.7,34.1,.321
247,Presbyterian,36,20,16,.556,-3.56,-5.35,,9,7,,12,3,,8,12,,2817,2610,,69.6,103.7,.327,.418,.549,50.6,50.2,6.8,8.6,.520,16.6,25.7,.230
248,Princeton,28,16,12,.571,-3.43,-0.89,,8,6,,7,5,,8,6,,1948,1951,,69.8,98.5,.288,.362,.523,49.6,43.4,9.3,11.4,.490,15.7,24.3,.209
249,Providence,34,18,16,.529,8.29,6.71,,7,11,,11,7,,5,6,,2428,2374,,68.8,99.6,.328,.374,.533,48.9,51.0,9.8,8.4,.497,17.7,27.9,.239
250,Purdue NCAA,36,26,10,.722,21.40,11.99,,16,4,,15,0,,6,6,,2760,2421,,66.1,100.4,.317,.432,.527,46.3,53.5,7.4,11.6,.490,16.3,26.5,.232
251,Quinnipiac,31,16,15,.516,-6.78,-8.03,,11,7,,7,7,,9,6,,2294,2255,,67.6,105.1,.270,.369,.528,49.2,45.4,8.6,11.5,.507,13.6,28.7,.176
252,Radford,33,22,11,.667,1.28,-1.95,,12,4,,11,3,,9,7,,2440,2247,,66.5,101.7,.300,.447,.542,47.3,50.1,6.7,8.8,.510,16.3,24.0,.218
253,Rhode Island,33,18,15,.545,2.83,1.19,,9,9,,9,5,,5,7,,2293,2239,,68.2,98.4,.357,.377,.527,48.8,52.6,8.4,8.9,.487,17.7,27.6,.259
254,Rice,32,13,19,.406,-6.56,-2.06,,8,10,,9,7,,4,11,,2367,2481,,71.8,105.9,.300,.394,.546,48.8,52.0,8.5,10.1,.516,13.8,23.9,.216
255,Richmond,33,13,20,.394,-1.37,-0.79,,6,12,,7,10,,4,7,,2314,2333,,66.6,106.1,.287,.381,.554,55.1,48.1,8.4,9.6,.531,16.3,29.7,.196
256,Rider,31,16,15,.516,-4.96,-6.51,,11,7,,9,3,,6,10,,2381,2333,,74.1,101.1,.360,.434,.562,49.6,57.7,8.1,9.1,.537,20.2,27.1,.242
257,Robert Morris,35,18,17,.514,-9.41,-7.62,,11,7,,13,4,,5,13,,2448,2403,,68.2,99.3,.388,.380,.554,49.5,49.5,9.3,8.5,.512,20.0,27.1,.287
258,Rutgers,31,14,17,.452,8.89,9.76,,7,13,,10,7,,4,9,,2105,2132,,68.1,100.2,.324,.381,.520,47.2,51.1,9.5,8.9,.492,15.3,27.0,.216
259,Sacramento State,31,15,16,.484,-8.78,-6.78,,8,12,,9,5,,4,10,,2197,2155,,69.4,99.3,.355,.379,.550,50.0,55.0,9.4,9.0,.511,19.5,26.7,.264
260,Sacred Heart,32,15,17,.469,-7.88,-8.11,,11,7,,10,3,,4,13,,2558,2509,,74.0,105.6,.312,.382,.546,46.9,51.1,9.4,10.0,.514,14.5,26.2,.226
261,Saint Francis (PA),33,18,15,.545,-8.74,-6.16,,12,6,,12,4,,6,11,,2517,2510,,70.8,107.4,.314,.390,.559,48.0,50.6,7.2,11.1,.531,15.5,28.2,.223
262,Saint Joseph's,33,14,19,.424,-0.43,1.66,,6,12,,10,5,,2,11,,2328,2397,,68.8,105.2,.271,.441,.545,51.7,59.2,7.3,7.4,.517,14.0,24.1,.197
263,Saint Louis NCAA,36,23,13,.639,5.06,2.23,,10,8,,15,2,,4,8,,2399,2297,,67.0,95.2,.335,.376,.509,45.5,54.8,9.0,10.1,.469,17.1,24.6,.242
