,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
30,Bradley NCAA,35,20,15,.571,-0.08,-0.90,,9,9,,10,6,,5,8,,2329,2285,,66.2,98.3,.351,.398,.518,49.3,53.3,8.4,7.4,.477,16.4,26.2,.254
31,Brigham Young,32,19,13,.594,6.15,3.31,,11,5,,13,3,,5,8,,2527,2436,,71.9,104.6,.354,.366,.545,51.0,51.1,7.9,7.2,.507,15.5,26.8,.260
32,Brown,32,20,12,.625,-0.62,-3.29,,7,7,,13,3,,7,9,,2355,2204,,72.6,94.2,.302,.409,.510,50.0,49.6,9.1,9.3,.479,18.3,25.6,.208
33,Bryant,30,10,20,.333,-15.19,-7.66,,7,11,,8,6,,2,13,,2088,2314,,69.2,111.5,.354,.381,.581,52.7,54.8,8.5,11.9,.549,16.2,30.3,.261
34,Bucknell,33,21,12,.636,0.59,-2.93,,13,5,,12,3,,7,8,,2534,2418,,71.4,102.3,.324,.346,.525,50.2,49.8,9.5,9.2,.492,14.6,27.4,.228
35,Buffalo NCAA,36,32,4,.889,15.56,2.62,,16,2,,14,0,,12,3,,3037,2550,,74.5,94.7,.315,.363,.509,47.6,40.6,7.1,8.5,.474,18.1,26.3,.221
36,Butler,33,16,17,.485,9.22,8.10,,7,11,,12,4,,2,10,,2374,2337,,67.1,104.8,.363,.394,.559,51.7,49.7,7.8,10.7,.527,16.8,27.4,.256
37,Cal Poly,29,6,23,.207,-13.95,-3.54,,2,14,,4,8,,1,14,,1930,2183,,66.8,110.3,.374,.332,.555,53.2,54.2,7.8,9.9,.522,13.8,30.6,.263
38,Cal State Bakersfield,34,18,16,.529,-5.12,-2.63,,7,9,,9,4,,7,10,,2412,2412,,67.6,103.7,.517,.415,.563,46.7,56.2,7.5,6.8,.512,18.1,27.8,.380
39,Cal State Fullerton,34,16,18,.471,-3.29,-1.14,,10,6,,9,4,,4,11,,2437,2414,,70.3,99.1,.341,.333,.512,49.7,48.5,7.6,6.6,.478,14.9,25.7,.233
40,Cal State Northridge,34,13,21,.382,-6.54,-3.39,,7,9,,7,9,,4,11,,2601,2701,,72.1,109.0,.322,.358,.550,52.1,52.3,8.2,7.3,.516,14.7,31.9,.238
41,California Baptist,31,16,15,.516,-3.89,-4.12,,7,9,,8,7,,8,6,,2403,2241,,70.1,101.5,.370,.337,.521,47.9,44.7,7.9,7.0,.480,14.1,25.6,.264
42,UC-Davis,31,11,20,.355,-6.26,-1.50,,7,9,,7,6,,3,12,,2038,2128,,67.0,100.8,.380,.377,.551,53.5,52.3,9.4,9.4,.520,19.0,27.7,.261
43,UC-Irvine NCAA,37,31,6,.838,5.70,-2.30,,15,1,,12,2,,13,2,,2675,2353,,66.2,94.8,.330,.338,.480,45.2,43.9,7.8,7.1,.439,14.6,26.7,.233
44,UC-Riverside,33,10,23,.303,-11.12,-3.19,,4,12,,7,7,,2,14,,2153,2279,,64.3,107.0,.333,.364,.560,49.5,54.2,8.5,6.7,.532,14.7,24.9,.232
45,UC-Santa Barbara,32,22,10,.688,-1.62,-5.55,,10,6,,12,3,,7,6,,2350,2114,,66.0,99.3,.313,.360,.513,45.2,46.8,6.6,7.8,.482,14.7,25.5,.215
46,University of California,31,8,23,.258,-3.16,5.42,,3,15,,7,9,,1,10,,2121,2387,,68.5,112.0,.361,.418,.596,55.4,55.3,7.2,8.7,.569,17.9,31.5,.259
47,Campbell,33,20,13,.606,-3.62,-4.39,,12,4,,12,4,,5,8,,2495,2328,,68.0,103.3,.341,.414,.556,52.2,50.9,8.3,6.9,.522,17.6,27.1,.250
48,Canisius,32,15,17,.469,-8.79,-4.85,,11,7,,5,8,,9,5,,2250,2376,,68.5,107.1,.369,.373,.567,52.7,48.6,7.8,9.3,.536,17.9,31.5,.262
49,Central Arkansas,33,14,19,.424,-11.37,-4.81,,8,10,,8,5,,5,13,,2383,2498,,72.0,104.3,.339,.403,.540,51.8,56.6,8.6,7.5,.508,15.9,29.3,.237
50,Central Connecticut State,31,11,20,.355,-14.02,-6.71,,5,13,,5,7,,5,12,,2205,2367,,70.4,106.7,.367,.445,.555,49.9,58.5,9.5,10.0,.521,16.1,29.5,.260
51,Central Florida NCAA,33,24,9,.727,13.37,5.58,,13,5,,15,2,,5,5,,2385,2128,,67.3,95.5,.292,.384,.482,48.5,53.5,8.5,8.1,.454,15.3,29.2,.189
52,Central Michigan,35,23,12,.657,2.79,-0.34,,10,8,,13,4,,7,6,,2896,2690,,73.6,102.7,.281,.357,.527,50.4,41.9,6.9,12.4,.501,16.6,32.3,.193
53,Charleston Southern,34,18,16,.529,-2.43,-4.19,,9,7,,12,4,,4,11,,2574,2369,,71.9,96.1,.310,.422,.535,49.0,55.2,9.4,8.8,.504,20.1,26.5,.220
54,Charlotte,29,8,21,.276,-8.34,-0.89,,5,13,,5,9,,3,9,,1776,1992,,65.8,104.3,.326,.423,.549,51.7,52.6,10.5,12.8,.513,15.8,26.1,.242
55,Chattanooga,32,12,20,.375,-7.87,-0.76,,7,11,,8,6,,4,11,,2268,2376,,69.5,106.5,.306,.354,.546,51.4,46.3,9.5,8.5,.518,14.1,26.8,.215
56,Chicago State,32,3,29,.094,-24.83,0.67,,0,16,,3,8,,0,19,,1970,2710,,72.0,117.6,.327,.437,.590,55.6,56.6,10.5,7.9,.568,14.6,33.1,.227
57,Cincinnati NCAA,35,28,7,.800,14.53,5.50,,14,4,,16,2,,7,4,,2510,2194,,65.0,95.7,.305,.428,.513,46.3,50.7,5.8,9.4,.486,18.2,28.8,.202
58,Citadel,30,12,18,.400,-7.94,0.03,,4,14,,8,7,,4,10,,2553,2584,,76.7,111.4,.304,.474,.573,52.3,60.6,8.8,11.3,.550,15.3,30.5,.213
59,Clemson,34,20,14,.588,13.85,8.99,,9,9,,14,5,,4,6,,2339,2174,,67.3,95.0,.300,.396,.513,47.5,44.5,8.3,8.3,.476,17.6,24.5,.219
60,Cleveland State,31,10,21,.323,-7.96,-1.52,,5,13,,8,9,,2,12,,2300,2437,,71.4,109.2,.325,.399,.545,52.5,54.9,9.5,10.2,.511,14.6,32.3,.236
61,Coastal Carolina,34,17,17,.500,-0.50,-1.94,,9,9,,10,4,,6,11,,2641,2520,,71.2,103.4,.408,.451,.546,47.2,53.5,9.0,9.2,.507,16.3,27.2,.290
62,Colgate NCAA,35,24,11,.686,1.23,-3.83,,13,5,,15,1,,9,9,,2648,2458,,67.8,102.4,.285,.405,.532,47.3,51.4,10.4,9.5,.503,15.5,26.3,.203
63,College of Charleston,33,24,9,.727,2.36,-2.95,,12,6,,13,2,,8,5,,2453,2265,,66.3,102.8,.265,.431,.548,49.6,51.6,7.8,8.2,.519,16.9,25.8,.195
64,Colorado State,32,12,20,.375,-0.11,1.41,,7,11,,8,9,,3,8,,2393,2406,,68.9,108.7,.294,.413,.557,50.2,53.1,8.4,6.6,.529,14.1,26.6,.211
65,Colorado,36,23,13,.639,9.68,3.60,,10,8,,15,2,,5,9,,2648,2429,,69.4,96.9,.311,.375,.511,45.4,43.1,10.1,9.1,.484,15.5,23.6,.206
66,Columbia,28,10,18,.357,-5.18,-2.14,,5,9,,5,7,,4,9,,2059,2052,,69.4,102.0,.382,.409,.547,50.3,48.1,8.7,8.4,.511,17.4,26.0,.270
67,Connecticut,33,16,17,.485,6.81,4.32,,6,12,,13,5,,1,8,,2436,2354,,69.7,101.9,.392,.337,.539,49.3,52.9,8.9,8.7,.496,17.5,30.1,.287
