,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
17,Arkansas,34,18,16,.529,11.75,8.78,,8,10,,12,6,,5,8,,2559,2458,,1370,817,1929,.424,270,811,.333,554,804,.689,426,1301,441,212,113,553,729
18,Army,32,13,19,.406,-7.57,-4.73,,8,10,,10,4,,3,13,,2268,2305,,1280,843,1853,.455,266,755,.352,353,520,.679,246,1175,444,215,135,436,503
19,Auburn NCAA,40,30,10,.750,20.84,10.92,,11,7,,15,2,,4,6,,3188,2750,,1615,940,2153,.437,323,937,.345,547,774,.707,424,1412,491,226,144,683,690
20,Austin Peay,33,22,11,.667,0.59,-4.41,,13,5,,10,2,,8,7,,2712,2413,,1335,863,1913,.451,240,723,.332,447,645,.693,335,1136,448,187,107,521,650
21,Ball State,33,16,17,.485,3.39,1.21,,6,12,,7,7,,8,7,,2478,2362,,1340,851,2053,.415,228,717,.318,432,613,.705,365,1169,386,224,110,426,641
22,Baylor NCAA,34,20,14,.588,13.38,9.26,,10,8,,13,5,,5,6,,2442,2302,,1365,795,1869,.425,246,714,.345,466,682,.683,338,1086,442,202,146,421,612
23,Belmont NCAA,33,27,6,.818,9.12,-2.60,,16,2,,13,1,,12,3,,2868,2439,,1330,895,2110,.424,253,743,.341,396,569,.696,314,1166,402,200,116,403,552
24,Bethune-Cookman,31,14,17,.452,-11.98,-9.74,,9,7,,11,4,,3,12,,2290,2245,,1250,786,1901,.413,205,679,.302,468,687,.681,372,1170,439,221,126,477,597
25,Binghamton,33,10,23,.303,-13.92,-4.69,,5,11,,5,11,,5,12,,2152,2376,,1320,877,1977,.444,299,772,.387,323,487,.663,368,1264,540,226,95,380,510
26,Boise State,33,13,20,.394,3.61,1.08,,7,11,,8,7,,3,10,,2364,2263,,1330,795,1768,.450,243,713,.341,430,580,.741,247,1025,412,160,90,412,557
27,Boston College,31,14,17,.452,5.83,7.76,,5,13,,10,8,,2,8,,2196,2256,,1260,797,1900,.419,246,770,.319,416,559,.744,371,1198,432,181,96,359,555
28,Boston University,33,15,18,.455,-6.61,-5.39,,7,11,,7,7,,8,10,,2385,2387,,1325,858,1821,.471,248,723,.343,423,579,.731,256,1028,450,199,106,412,539
29,Bowling Green State,34,22,12,.647,4.24,0.86,,12,6,,14,2,,5,8,,2668,2496,,1370,879,2064,.426,307,898,.342,431,621,.694,309,1215,413,222,99,443,678
30,Bradley NCAA,35,20,15,.571,-0.08,-0.90,,9,9,,10,6,,5,8,,2329,2285,,1405,779,1892,.412,246,753,.327,481,664,.724,313,1163,415,196,90,433,648
31,Brigham Young,32,19,13,.594,6.15,3.31,,11,5,,13,3,,5,8,,2527,2436,,1295,841,1912,.440,256,699,.366,498,677,.736,313,1163,430,183,86,411,658
32,Brown,32,20,12,.625,-0.62,-3.29,,7,7,,13,3,,7,9,,2355,2204,,1290,788,1891,.417,234,774,.302,394,572,.689,308,1159,391,213,100,485,657
33,Bryant,30,10,20,.333,-15.19,-7.66,,7,11,,8,6,,2,13,,2088,2314,,1200,809,1704,.475,252,650,.388,444,604,.735,297,1081,443,176,116,386,569
34,Bucknell,33,21,12,.636,0.59,-2.93,,13,5,,12,3,,7,8,,2534,2418,,1325,867,1995,.435,230,691,.333,454,647,.702,328,1163,432,225,96,393,611
35,Buffalo NCAA,36,32,4,.889,15.56,2.62,,16,2,,14,0,,12,3,,3037,2550,,1445,916,2180,.420,236,791,.298,482,687,.702,363,1333,372,192,112,553,704
36,Butler,33,16,17,.485,9.22,8.10,,7,11,,12,4,,2,10,,2374,2337,,1330,815,1784,.457,251,703,.357,456,648,.704,291,1132,405,175,118,423,529
37,Cal Poly,29,6,23,.207,-13.95,-3.54,,2,14,,4,8,,1,14,,1930,2183,,1185,770,1671,.461,204,555,.368,439,625,.702,304,1107,417,155,102,314,492
38,Cal State Bakersfield,34,18,16,.529,-5.12,-2.63,,7,9,,9,4,,7,10,,2412,2412,,1375,749,1719,.436,261,714,.366,653,889,.735,302,1116,421,174,96,472,621
39,Cal State Fullerton,34,16,18,.471,-3.29,-1.14,,10,6,,9,4,,4,11,,2437,2414,,1385,864,2029,.426,213,676,.315,473,691,.685,328,1211,419,186,87,412,648
40,Cal State Northridge,34,13,21,.382,-6.54,-3.39,,7,9,,7,9,,4,11,,2601,2701,,1375,951,2128,.447,292,762,.383,507,685,.740,404,1322,497,203,106,424,630
41,California Baptist,31,16,15,.516,-3.89,-4.12,,7,9,,8,7,,8,6,,2403,2241,,1260,774,1830,.423,210,617,.340,483,677,.713,297,1077,346,175,74,353,559
42,UC-Davis,31,11,20,.355,-6.26,-1.50,,7,9,,7,6,,3,12,,2038,2128,,1260,746,1635,.456,210,616,.341,426,622,.685,272,1069,390,198,99,453,570
43,UC-Irvine NCAA,37,31,6,.838,5.70,-2.30,,15,1,,12,2,,13,2,,2675,2353,,1500,809,2118,.382,241,715,.337,494,698,.708,379,1211,355,194,103,419,627
44,UC-Riverside,33,10,23,.303,-11.12,-3.19,,4,12,,7,7,,2,14,,2153,2279,,1325,821,1758,.467,229,640,.358,408,586,.696,254,1030,445,182,70,351,473
45,UC-Santa Barbara,32,22,10,.688,-1.62,-5.55,,10,6,,12,3,,7,6,,2350,2114,,1290,765,1794,.426,198,646,.307,386,561,.688,282,993,358,140,96,356,593
46,University of California,31,8,23,.258,-3.16,5.42,,3,15,,7,9,,1,10,,2121,2387,,1245,836,1708,.489,272,714,.381,443,617,.718,299,1117,462,154,100,435,548
47,Campbell,33,20,13,.606,-3.62,-4.39,,12,4,,12,4,,5,8,,2495,2328,,1325,807,1800,.448,264,745,.354,450,614,.733,291,1147,411,186,69,448,571
48,Canisius,32,15,17,.469,-8.79,-4.85,,11,7,,5,8,,9,5,,2250,2376,,1295,835,1782,.469,239,664,.360,467,657,.711,334,1142,406,172,97,456,560
49,Central Arkansas,33,14,19,.424,-11.37,-4.81,,8,10,,8,5,,5,13,,2383,2498,,1330,873,1992,.438,279,803,.347,473,675,.701,359,1251,494,205,84,437,606
50,Central Connecticut State,31,11,20,.355,-14.02,-6.71,,5,13,,5,7,,5,12,,2205,2367,,1260,800,1817,.440,295,809,.365,472,666,.709,324,1103,468,211,121,409,591
51,Central Florida NCAA,33,24,9,.727,13.37,5.58,,13,5,,15,2,,5,5,,2385,2128,,1325,764,1938,.394,233,744,.313,367,565,.650,371,1142,409,190,92,400,699
52,Central Michigan,35,23,12,.657,2.79,-0.34,,10,8,,13,4,,7,6,,2896,2690,,1425,1010,2250,.449,236,804,.294,434,632,.687,430,1344,423,182,168,506,719
53,Charleston Southern,34,18,16,.529,-2.43,-4.19,,9,7,,12,4,,4,11,,2574,2369,,1370,828,1931,.429,289,815,.355,424,598,.709,314,1226,457,232,107,558,576
54,Charlotte,29,8,21,.276,-8.34,-0.89,,5,13,,5,9,,3,9,,1776,1992,,1160,688,1570,.438,236,664,.355,380,512,.742,245,956,362,201,106,340,493
55,Chattanooga,32,12,20,.375,-7.87,-0.76,,7,11,,8,6,,4,11,,2268,2376,,1285,864,1899,.455,240,672,.357,408,582,.701,299,1160,400,211,92,358,524
56,Chicago State,32,3,29,.094,-24.83,0.67,,0,16,,3,8,,0,19,,1970,2710,,1280,964,1988,.485,331,869,.381,451,650,.694,368,1248,546,242,101,392,589
57,Cincinnati NCAA,35,28,7,.800,14.53,5.50,,14,4,,16,2,,7,4,,2510,2194,,1410,766,1869,.410,284,800,.355,378,570,.663,332,1088,388,133,126,476,659
58,Citadel,30,12,18,.400,-7.94,0.03,,4,14,,8,7,,4,10,,2553,2584,,1210,909,1969,.462,346,933,.371,420,599,.701,344,1216,551,203,106,408,514
59,Clemson,34,20,14,.588,13.85,8.99,,9,9,,14,5,,4,6,,2339,2174,,1360,755,1856,.407,257,735,.350,407,557,.731,291,1088,336,190,99,453,581
60,Cleveland State,31,10,21,.323,-7.96,-1.52,,5,13,,8,9,,2,12,,2300,2437,,1250,864,1937,.446,251,772,.325,458,630,.727,377,1210,474,213,103,381,590
61,Coastal Carolina,34,17,17,.500,-0.50,-1.94,,9,9,,10,4,,6,11,,2641,2520,,1370,839,1932,.434,281,871,.323,561,788,.712,329,1125,449,220,112,448,649
62,Colgate NCAA,35,24,11,.686,1.23,-3.83,,13,5,,15,1,,9,9,,2648,2458,,1415,884,2033,.435,277,824,.336,413,580,.712,327,1112,454,250,112,422,581
63,College of Charleston,33,24,9,.727,2.36,-2.95,,12,6,,13,2,,8,5,,2453,2265,,1330,822,1837,.447,263,791,.332,358,487,.735,278,1043,424,171,94,421,547
64,Colorado State,32,12,20,.375,-0.11,1.41,,7,11,,8,9,,3,8,,2393,2406,,1285,864,1897,.455,278,783,.355,400,557,.718,298,1088,459,186,72,355,559
65,Colorado,36,23,13,.639,9.68,3.60,,10,8,,15,2,,5,9,,2648,2429,,1445,878,2069,.424,247,776,.318,426,643,.663,306,1126,378,253,120,436,713
66,Columbia,28,10,18,.357,-5.18,-2.14,,5,9,,5,7,,4,9,,2059,2052,,1160,696,1587,.439,231,649,.356,429,606,.708,256,996,335,175,89,395,434
67,Connecticut,33,16,17,.485,6.81,4.32,,6,12,,13,5,,1,8,,2436,2354,,1325,809,1841,.439,208,620,.335,528,721,.732,339,1137,428,205,107,464,607
68,Coppin State,33,8,25,.242,-18.90,-7.11,,7,9,,3,7,,4,16,,2118,2507,,1330,868,2024,.429,297,812,.366,474,680,.697,358,1276,480,246,84,400,611
69,Cornell,31,15,16,.484,-6.12,-2.02,,7,7,,9,4,,6,12,,2149,2211,,1260,825,1880,.439,209,638,.328,352,502,.701,310,1160,357,194,111,388,532
70,Creighton,35,20,15,.571,12.00,8.59,,9,9,,13,6,,4,8,,2727,2561,,1420,943,2063,.457,291,822,.354,384,563,.682,318,1188,489,223,117,478,612
71,Dartmouth,30,11,19,.367,-5.75,-3.00,,2,12,,8,6,,2,12,,2160,2116,,1210,800,1739,.460,194,589,.329,322,456,.706,238,1005,363,188,93,342,456
72,Davidson,34,24,10,.706,6.38,1.96,,14,4,,14,2,,7,5,,2409,2229,,1365,778,1905,.408,275,835,.329,398,561,.709,297,1142,426,174,75,379,564
73,Dayton,33,21,12,.636,9.67,2.91,,13,5,,13,4,,7,4,,2406,2183,,1335,803,1941,.414,252,786,.321,325,461,.705,328,1056,415,176,95,370,537
74,Delaware State,31,6,25,.194,-26.82,-10.13,,2,14,,3,9,,2,15,,1956,2371,,1240,818,1817,.450,244,713,.342,491,685,.717,339,1306,476,213,128,446,501
75,Delaware,33,17,16,.515,-7.91,-4.82,,8,10,,9,7,,7,8,,2352,2380,,1360,859,1937,.443,271,735,.369,391,537,.728,321,1137,437,178,94,330,553
76,Denver,30,8,22,.267,-11.84,-2.97,,3,13,,6,7,,1,14,,2086,2319,,1205,822,1748,.470,318,760,.418,357,493,.724,228,982,428,177,79,332,487
77,DePaul,36,19,17,.528,6.00,4.05,,7,11,,16,7,,3,9,,2821,2751,,1450,963,2132,.452,344,922,.373,481,659,.730,310,1160,503,244,110,459,692
78,Detroit Mercy,31,11,20,.355,-6.33,-0.36,,8,10,,6,6,,4,14,,2279,2464,,1240,879,1857,.473,263,761,.346,443,608,.729,381,1211,596,175,106,432,546
79,Drake,34,24,10,.706,2.52,-0.66,,12,6,,13,2,,7,6,,2563,2387,,1385,872,2042,.427,225,743,.303,418,600,.697,320,1160,369,245,105,408,586
80,Drexel,32,13,19,.406,-7.02,-2.93,,7,11,,9,7,,3,11,,2425,2475,,1280,921,1909,.482,244,652,.374,389,576,.675,280,1043,435,195,116,334,530
81,Duke NCAA,38,32,6,.842,26.90,11.98,,14,4,,15,2,,7,2,,3143,2576,,1525,960,2415,.398,253,844,.300,403,579,.696,441,1348,479,243,121,540,659
82,Duquesne,32,19,13,.594,0.53,-0.63,,10,8,,14,4,,4,6,,2351,2314,,1295,839,1903,.441,223,659,.338,413,607,.680,401,1219,465,219,118,491,585
83,East Carolina,31,10,21,.323,-5.49,1.31,,3,15,,8,9,,1,11,,2088,2299,,1255,787,1753,.449,214,651,.329,511,732,.698,332,1152,427,207,121,427,549
84,East Tennessee State,34,24,10,.706,5.21,-1.79,,13,5,,13,3,,8,6,,2707,2371,,1375,836,1921,.435,296,781,.379,403,584,.690,276,1006,433,229,116,494,592
85,Eastern Illinois,32,14,18,.438,-11.81,-5.01,,7,11,,7,6,,5,10,,2299,2457,,1310,858,1896,.453,296,770,.384,445,631,.705,348,1186,486,221,105,423,538
86,Eastern Kentucky,31,13,18,.419,-7.40,-2.47,,6,12,,9,5,,3,11,,2562,2577,,1265,898,1931,.465,230,669,.344,551,767,.718,341,1288,466,210,116,568,602
87,Eastern Michigan,32,15,17,.469,0.40,4.43,,9,9,,11,7,,4,10,,2203,2213,,1295,787,1832,.430,265,777,.341,374,549,.681,383,1108,534,216,98,446,570
88,Eastern Washington,34,16,18,.471,-6.77,-4.17,,12,8,,9,4,,4,13,,2460,2527,,1380,877,1940,.452,291,766,.380,482,672,.717,272,1199,452,203,102,408,572
89,Elon,32,11,21,.344,-11.53,-3.56,,7,11,,5,11,,6,7,,2266,2445,,1290,876,1934,.453,286,770,.371,407,557,.731,311,1171,454,219,64,342,510
90,Evansville,32,11,21,.344,-3.84,0.13,,5,13,,9,7,,2,13,,2234,2317,,1295,824,1868,.441,211,608,.347,458,673,.681,296,1219,374,179,93,400,604
91,Fairfield,31,9,22,.290,-10.20,-7.14,,6,12,,5,7,,3,13,,2072,2167,,1240,748,1625,.460,212,579,.366,459,652,.704,279,1065,385,201,109,451,494
92,Fairleigh Dickinson NCAA,35,21,14,.600,-6.09,-7.24,,12,6,,13,4,,7,9,,2620,2515,,1420,908,2041,.445,277,789,.351,422,608,.694,389,1186,473,218,116,508,632
93,Florida A&M,31,12,19,.387,-13.57,-8.09,,9,7,,6,3,,6,14,,1927,2057,,1245,704,1645,.428,185,612,.302,464,661,.702,333,1079,353,212,88,459,524
94,Florida Atlantic,33,17,16,.515,-1.42,-1.76,,8,10,,9,5,,6,9,,2322,2243,,1335,795,1933,.411,250,794,.315,403,586,.688,314,1177,395,248,77,442,555
95,Florida Gulf Coast,32,14,18,.438,-5.11,-1.48,,9,7,,10,4,,4,10,,2280,2360,,1280,852,1928,.442,288,785,.367,368,525,.701,346,1138,485,225,103,445,542
96,Florida International,34,20,14,.588,-4.55,-1.45,,10,8,,12,4,,6,9,,2798,2734,,1360,980,2147,.456,266,785,.339,508,726,.700,420,1465,502,239,147,667,700
97,Florida State NCAA,37,29,8,.784,17.99,10.26,,13,5,,15,1,,6,4,,2771,2485,,1500,842,2067,.407,269,803,.335,532,737,.722,348,1223,369,203,113,529,682
98,Florida NCAA,36,20,16,.556,15.42,11.22,,9,9,,9,6,,5,6,,2440,2289,,1455,806,1916,.421,231,730,.316,446,644,.693,390,1242,389,221,104,527,615
99,Fordham,32,12,20,.375,-5.02,-2.40,,3,15,,9,10,,3,8,,2108,2141,,1295,746,1725,.432,207,633,.327,442,634,.697,295,1194,461,179,91,419,481
100,Fresno State,32,23,9,.719,8.99,0.67,,13,5,,13,4,,7,3,,2448,2162,,1285,750,1788,.419,225,735,.306,437,617,.708,287,1092,389,181,103,438,576
101,Furman,33,25,8,.758,7.46,-1.50,,13,5,,13,3,,11,4,,2562,2182,,1340,818,1951,.419,237,749,.316,309,455,.679,352,1132,381,235,110,474,529
102,Gardner-Webb NCAA,35,23,12,.657,-2.61,-4.43,,11,6,,13,0,,8,9,,2718,2468,,1430,871,2101,.415,310,951,.326,416,579,.718,393,1229,470,206,102,468,600
103,George Mason,33,18,15,.545,0.84,0.08,,11,7,,11,6,,6,6,,2314,2289,,1330,832,1894,.439,237,740,.320,388,580,.669,313,1107,414,225,131,413,575
104,George Washington,33,9,24,.273,-6.65,1.20,,4,14,,6,11,,2,10,,2097,2356,,1340,849,1925,.441,275,773,.356,383,582,.658,334,1236,464,223,110,387,566
105,Georgetown,33,19,14,.576,6.80,5.31,,9,9,,13,6,,5,6,,2625,2576,,1355,913,2111,.432,291,858,.339,459,640,.717,333,1198,494,252,115,404,641
106,Georgia Southern,33,21,12,.636,3.75,0.13,,12,6,,10,4,,7,7,,2726,2489,,1330,899,2033,.442,256,782,.327,435,615,.707,347,1152,435,187,105,521,648
107,Georgia State NCAA,34,24,10,.706,2.44,0.65,,13,5,,13,1,,7,7,,2598,2491,,1360,872,2051,.425,304,926,.328,443,631,.702,428,1336,512,169,108,512,595
108,Georgia Tech,32,14,18,.438,6.93,8.15,,6,12,,11,7,,3,9,,2091,2130,,1285,740,1848,.400,207,697,.297,443,643,.689,376,1154,452,225,108,410,555
109,Georgia,32,11,21,.344,5.31,8.12,,2,16,,8,9,,2,9,,2274,2364,,1280,853,2004,.426,238,717,.332,420,600,.700,385,1119,386,240,100,349,602
110,Gonzaga NCAA,37,33,4,.892,27.79,5.01,,16,0,,17,0,,9,1,,3243,2400,,1480,877,2256,.389,239,787,.304,407,584,.697,382,1194,363,201,84,501,685
111,Grambling,34,17,17,.500,-9.73,-9.34,,10,8,,11,3,,6,12,,2426,2336,,1370,782,2003,.390,216,723,.299,556,820,.678,384,1245,405,236,111,441,652
112,Grand Canyon,34,20,14,.588,3.85,-1.49,,10,6,,12,2,,5,8,,2560,2353,,1370,848,1945,.436,240,690,.348,417,584,.714,301,1152,368,185,101,465,658
113,Green Bay,38,21,17,.553,-2.24,-0.36,,10,8,,15,3,,5,13,,3090,3036,,1535,1082,2432,.445,325,969,.335,547,773,.708,433,1511,528,268,112,574,725
114,Hampton,35,18,17,.514,-3.34,-5.06,,9,7,,12,3,,6,12,,2847,2669,,1430,927,2180,.425,286,865,.331,529,741,.714,357,1333,486,169,125,436,669
115,Hartford,33,18,15,.545,-3.95,-4.89,,10,6,,10,4,,8,9,,2477,2407,,1345,865,1911,.453,258,763,.338,419,577,.726,343,1161,436,195,115,449,590
116,Harvard,31,19,12,.613,1.86,0.66,,10,4,,9,2,,8,9,,2222,2174,,1265,763,1756,.435,228,669,.341,420,593,.708,256,979,375,233,84,381,540
117,Hawaii,31,18,13,.581,-1.30,-3.61,,9,7,,12,5,,4,5,,2241,2131,,1250,774,1727,.448,203,597,.340,380,562,.676,250,1009,352,177,71,371,580
118,High Point,31,16,15,.516,-5.63,-4.39,,9,7,,9,4,,5,8,,2115,2105,,1255,740,1753,.422,271,824,.329,354,506,.700,272,969,387,175,120,338,522
119,Hofstra,35,27,8,.771,4.68,-4.53,,15,3,,15,1,,10,6,,2919,2553,,1440,955,2113,.452,271,782,.347,372,532,.699,356,1154,512,162,91,450,671
120,Holy Cross,33,16,17,.485,-6.43,-4.01,,6,12,,8,6,,6,11,,2216,2296,,1335,825,1805,.457,292,783,.373,354,484,.731,338,1190,465,188,92,479,473
121,Houston Baptist,30,12,18,.400,-9.36,-5.53,,8,10,,9,4,,3,13,,2465,2484,,1225,887,1805,.491,248,618,.401,462,625,.739,287,1046,473,223,120,474,665
122,Houston NCAA,37,33,4,.892,18.91,4.61,,16,2,,19,1,,10,1,,2787,2258,,1480,749,2035,.368,233,836,.279,527,759,.694,360,1236,374,195,81,452,639
123,Howard,34,17,17,.500,-12.30,-9.52,,10,6,,6,8,,9,8,,2684,2661,,1370,911,2093,.435,278,800,.348,561,777,.722,412,1351,488,194,92,510,685
124,Idaho State,30,11,19,.367,-13.17,-4.81,,7,13,,6,7,,5,11,,2198,2369,,1200,854,1787,.478,264,673,.392,397,536,.741,281,1032,454,155,78,311,483
125,Idaho,32,5,27,.156,-18.74,-6.19,,2,18,,4,11,,1,13,,2174,2460,,1285,875,1940,.451,280,841,.333,430,613,.701,351,1161,507,204,89,304,522
126,Illinois-Chicago,32,16,16,.500,-3.15,-1.99,,10,8,,12,4,,4,12,,2391,2385,,1295,790,1887,.419,243,713,.341,562,781,.720,359,1181,427,207,94,414,548
127,Illinois State,33,17,16,.515,-2.06,0.25,,9,9,,12,4,,2,10,,2257,2314,,1330,815,1848,.441,255,753,.339,429,604,.710,288,1160,457,195,85,407,518
128,Illinois,33,12,21,.364,8.95,11.53,,7,13,,9,6,,1,9,,2398,2483,,1335,849,1833,.463,214,649,.330,571,777,.735,345,1203,452,193,121,516,612
129,Incarnate Word,31,6,25,.194,-18.93,-5.11,,1,17,,5,9,,0,14,,2044,2355,,1255,828,1682,.492,241,667,.361,458,621,.738,303,965,441,239,89,417,543
130,Indiana State,31,15,16,.484,-2.72,0.62,,7,11,,9,5,,4,9,,2146,2218,,1250,770,1709,.451,218,640,.341,460,635,.724,273,1072,405,182,102,422,573
131,Indiana,35,19,16,.543,13.82,10.10,,8,12,,15,6,,3,9,,2504,2374,,1420,862,2057,.419,260,785,.331,390,601,.649,363,1234,471,204,135,439,643
132,Iona NCAA,33,17,16,.515,-4.78,-5.50,,12,6,,8,3,,5,9,,2532,2508,,1320,900,2021,.445,314,857,.366,394,576,.684,369,1249,499,178,118,437,617
133,Iowa State NCAA,35,23,12,.657,18.07,9.30,,9,9,,12,4,,5,6,,2692,2385,,1400,877,2097,.418,276,822,.336,355,495,.717,388,1213,438,183,92,440,569
134,Iowa NCAA,35,23,12,.657,14.27,9.84,,10,10,,14,4,,4,6,,2740,2585,,1415,943,2104,.448,281,866,.324,418,606,.690,363,1218,545,230,97,457,721
135,Purdue-Fort Wayne,33,18,15,.545,-3.47,-3.60,,9,7,,11,5,,6,9,,2728,2556,,1330,951,2093,.454,300,811,.370,354,501,.707,334,1191,441,185,94,439,507
136,IUPUI,33,16,17,.485,-2.72,-3.04,,8,10,,11,4,,3,13,,2507,2429,,1320,862,1924,.448,276,759,.364,429,612,.701,312,1083,451,231,139,460,621
137,Jackson State,32,13,19,.406,-14.60,-9.33,,10,8,,9,4,,3,14,,1974,2107,,1285,694,1651,.420,213,610,.349,506,725,.698,277,1106,379,239,119,446,551
138,Jacksonville State,33,24,9,.727,1.59,-5.47,,15,3,,11,1,,10,7,,2574,2283,,1345,798,1931,.413,270,800,.338,417,569,.733,305,1102,390,217,84,494,600
139,Jacksonville,32,12,20,.375,-8.27,-4.74,,5,11,,5,8,,6,11,,2385,2402,,1285,883,1957,.451,245,681,.360,391,560,.698,307,1141,403,230,114,432,547
140,James Madison,33,14,19,.424,-8.52,-4.07,,6,12,,8,6,,4,11,,2322,2409,,1350,865,1879,.460,230,658,.350,449,629,.714,321,1097,461,190,105,374,557
141,Kansas State NCAA,34,25,9,.735,15.39,9.18,,14,4,,13,2,,7,5,,2236,2025,,1360,717,1728,.415,233,741,.314,358,531,.674,279,1098,391,213,95,504,560
142,Kansas NCAA,36,26,10,.722,18.35,12.79,,12,6,,16,0,,3,8,,2725,2525,,1455,898,2201,.408,309,921,.336,420,612,.686,385,1263,473,237,123,455,620
143,Kennesaw State,32,6,26,.188,-16.17,-1.04,,3,13,,6,8,,0,15,,2030,2455,,1285,907,1945,.466,257,725,.354,384,546,.703,330,1223,510,231,123,392,527
144,Kent State,33,22,11,.667,1.26,0.61,,11,7,,14,3,,8,7,,2481,2417,,1330,862,1880,.459,244,712,.343,449,650,.691,327,1139,442,192,106,451,566
145,Kentucky NCAA,37,30,7,.811,21.43,10.29,,15,3,,17,1,,8,2,,2806,2394,,1490,854,2134,.400,283,824,.343,403,572,.705,337,1083,409,215,112,449,725
146,La Salle,31,10,21,.323,-3.61,1.29,,8,10,,5,9,,3,8,,2091,2243,,1240,774,1698,.456,193,564,.342,502,702,.715,297,1109,410,199,98,427,502
147,Lafayette,30,10,20,.333,-11.17,-4.93,,7,11,,4,11,,6,9,,2209,2349,,1220,854,1810,.472,246,645,.381,395,555,.712,275,1075,381,189,68,335,469
148,Lamar,33,20,13,.606,-5.94,-7.22,,12,6,,13,2,,6,10,,2597,2322,,1340,819,1863,.440,239,704,.339,445,632,.704,300,1054,492,210,118,523,676
149,Lehigh,31,20,11,.645,-2.34,-4.46,,12,6,,11,3,,9,8,,2479,2413,,1250,846,1967,.430,282,835,.338,439,599,.733,329,1083,483,218,113,354,560
150,Liberty NCAA,36,29,7,.806,5.27,-3.88,,14,2,,16,1,,11,3,,2654,2209,,1440,790,1894,.417,231,713,.324,398,588,.677,300,1104,363,194,97,482,561
