,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian NCAA,34,27,7,.794,-1.91,-7.34,,14,4,,13,2,,10,4,,2502,2161,,1370,753,1737,.434,191,578,.330,464,643,.722,295,1098,356,192,92,560,592
2,Air Force,32,14,18,.438,-4.28,0.24,,8,10,,9,6,,3,9,,2179,2294,,1300,821,1820,.451,299,841,.356,353,520,.679,258,1073,443,231,87,386,550
3,Akron,33,17,16,.515,4.86,1.09,,8,10,,14,3,,1,10,,2271,2107,,1325,760,1919,.396,215,734,.293,372,569,.654,370,1292,343,187,89,436,578
4,Alabama A&M,32,5,27,.156,-19.23,-8.38,,4,14,,4,7,,0,18,,1938,2285,,1295,811,1730,.469,235,665,.353,428,672,.637,333,1158,434,246,109,458,463
5,Alabama-Birmingham,35,20,15,.571,0.36,-1.52,,10,8,,11,5,,6,6,,2470,2370,,1410,811,1960,.414,297,873,.340,451,616,.732,310,1149,444,178,110,421,562
6,Alabama State,31,12,19,.387,-15.60,-7.84,,9,9,,8,3,,3,13,,2086,2235,,1250,788,1732,.455,217,638,.340,442,625,.707,324,1140,426,224,103,470,621
7,Alabama,34,18,16,.529,9.45,9.01,,8,10,,10,6,,4,8,,2448,2433,,1365,890,2047,.435,223,670,.333,430,605,.711,350,1185,384,221,144,402,644
8,Albany (NY),32,12,20,.375,-9.38,-6.70,,7,9,,6,8,,6,10,,2150,2216,,1300,807,1797,.449,253,703,.360,349,533,.655,301,1092,462,206,118,406,556
9,Alcorn State,31,10,21,.323,-22.08,-8.97,,6,12,,10,3,,0,17,,1995,2194,,1245,782,1744,.448,205,657,.312,425,619,.687,306,1082,489,245,83,414,497
10,American,30,15,15,.500,-4.19,-7.23,,9,9,,8,7,,6,8,,2161,2070,,1220,747,1709,.437,152,520,.292,424,595,.713,287,999,375,191,98,366,526
11,Appalachian State,32,11,21,.344,-3.73,0.10,,6,12,,9,5,,2,12,,2557,2539,,1290,916,1960,.467,242,659,.367,465,659,.706,329,1190,418,225,100,428,636
12,Arizona State NCAA,34,23,11,.676,10.28,6.04,,12,6,,13,3,,6,5,,2638,2494,,1380,828,2007,.413,292,874,.334,546,774,.705,343,1218,449,221,113,476,735
13,Arizona,32,17,15,.531,8.32,6.32,,8,10,,12,5,,4,7,,2269,2205,,1290,787,1756,.448,213,648,.329,418,615,.680,277,1094,376,173,123,450,621
14,Little Rock,31,10,21,.323,-4.87,-2.07,,5,13,,7,9,,3,12,,2301,2353,,1250,792,1799,.440,278,788,.353,491,692,.710,301,1068,434,175,79,439,648
15,Arkansas-Pine Bluff,32,13,19,.406,-14.43,-8.18,,10,8,,8,2,,4,17,,2108,2269,,1300,779,1713,.455,201,566,.355,510,756,.675,318,1090,434,240,106,442,608
16,Arkansas State,32,13,19,.406,-7.10,-1.23,,7,11,,10,4,,2,13,,2359,2475,,1310,823,1862,.442,240,685,.350,589,794,.742,331,1142,419,192,113,399,632
